abstract,application_area,arxiv_id,author_keywords,authors,citation_count,dataset_or_benchmark,document_type,doi,error,index_keywords,input_type,method_family,modality,output_type,paper_title,paper_url,query_bucket,reason_kept_or_removed,record_id,relevance_score,source,source_query,task_category,tier,venue,year
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,few_shot_exemplar,,,,arXiv,few-shot object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,few_shot_exemplar,,,,arXiv,exemplar-based object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,few_shot_exemplar,,,,arXiv,class-agnostic counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,zero_shot_open_vocab,,,,arXiv,zero-shot object counting,,,,
,,,,,,,,,The read operation timed out,,,,,,,,zero_shot_open_vocab,,,,arXiv,open-vocabulary object counting,,,,
,,,,,,,,,The read operation timed out,,,,,,,,zero_shot_open_vocab,,,,arXiv,text-guided object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,foundation_models,,,,arXiv,SAM object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,foundation_models,,,,arXiv,CLIP object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,video_counting,,,,arXiv,video object counting,,,,
,,,,,,,,,The read operation timed out,,,,,,,,video_counting,,,,arXiv,unique instance counting video,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,other_modalities,,,,arXiv,3D object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,applications,,,,arXiv,remote sensing object counting,,,,
,,,,,,,,,The read operation timed out,,,,,,,,applications,,,,arXiv,aerial image object counting,,,,
,,,,,,,,,HTTP Error 429: Unknown Error,,,,,,,,applications,,,,arXiv,cell counting computer vision,,,,
,,,,,,,,,The read operation timed out,,,,,,,,applications,,,,arXiv,microscopy counting,,,,
,,,,,,,,,The read operation timed out,,,,,,,,benchmarks,,,,arXiv,FSC-147,,,,
