abstract,application_area,arxiv_id,author_keywords,authors,citation_count,dataset_or_benchmark,document_type,doi,error,index_keywords,input_type,method_family,modality,output_type,paper_title,paper_url,publisher,query_bucket,reason_kept_or_removed,record_id,relevance_score,source,source_query,task_category,tier,venue,year
,,,,Takayuki Katsuki; Tetsuro Morimura; Tsuyoshi Ide,6,,proceedings-article,10.1109/icpr.2016.7900197,,,,,,,Unsupervised object counting without object recognition,https://doi.org/10.1109/icpr.2016.7900197,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000001,,Crossref,object counting survey,DOI/metadata expansion,,2016 23rd International Conference on Pattern Recognition (ICPR),2016
,,,,Jingyi Xu; Hieu Le; Vu Nguyen; Viresh Ranjan; Dimitris Samaras,66,,proceedings-article,10.1109/cvpr52729.2023.01492,,,,,,,Zero-Shot Object Counting,https://doi.org/10.1109/cvpr52729.2023.01492,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000002,,Crossref,object counting survey,DOI/metadata expansion,,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),2023
,,,,Douglas H. Clements; Julie Sarama,,,book-chapter,10.4324/9781003083528-3,,,,,,,Verbal and Object Counting,https://doi.org/10.4324/9781003083528-3,Routledge,survey_taxonomy,Collected from Crossref query.,CR_000003,,Crossref,object counting survey,DOI/metadata expansion,,Learning and Teaching Early Math,2020
,,,,Douglas H. Clements; Julie Sarama,,,book-chapter,10.4324/9781003582663-3,,,,,,,Verbal and Object Counting,https://doi.org/10.4324/9781003582663-3,Routledge,survey_taxonomy,Collected from Crossref query.,CR_000004,,Crossref,object counting survey,DOI/metadata expansion,,Learning and Teaching Early Math,2026
,,,,Onalenna J Makhura; John C. Woods,2,,proceedings-article,10.1109/mipr.2019.00008,,,,,,,Video Object Counting Dataset,https://doi.org/10.1109/mipr.2019.00008,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000005,,Crossref,object counting survey,DOI/metadata expansion,,2019 IEEE Conference on Multimedia Information Processing and Retrieval (MIPR),2019
,,,,Andreas Michel; Wolfgang Gross; Fabian Schenkel; Wolfgang Middelmann,10,,proceedings-article,10.1109/wacvw54805.2022.00053,,,,,,,Class-aware Object Counting,https://doi.org/10.1109/wacvw54805.2022.00053,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000006,,Crossref,object counting survey,DOI/metadata expansion,,2022 IEEE/CVF Winter Conference on Applications of Computer Vision Workshops (WACVW),2022
,,,,Yuning Huang; Yurong Qian; Hongyang Wei; Yiguo Lu; Bowen Ling; Yugang Qin,73,,journal-article,10.1016/j.compag.2023.108425,,,,,,,A survey of deep learning-based object detection methods in crop counting,https://doi.org/10.1016/j.compag.2023.108425,Elsevier BV,survey_taxonomy,Collected from Crossref query.,CR_000007,,Crossref,object counting survey,DOI/metadata expansion,,Computers and Electronics in Agriculture,2023
,,,,He Li; Shihui Zhang; Weihang Kong,10,,journal-article,10.1007/s00371-019-01769-5,,,,,,,Bilateral counting network for single-image object counting,https://doi.org/10.1007/s00371-019-01769-5,Springer Science and Business Media LLC,survey_taxonomy,Collected from Crossref query.,CR_000008,,Crossref,object counting survey,DOI/metadata expansion,,The Visual Computer,2020
,,,,Yifeng Huang; Viresh Ranjan; Minh Hoai,7,,proceedings-article,10.1109/iccv51070.2023.02039,,,,,,,Interactive Class-Agnostic Object Counting,https://doi.org/10.1109/iccv51070.2023.02039,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000009,,Crossref,object counting survey,DOI/metadata expansion,,2023 IEEE/CVF International Conference on Computer Vision (ICCV),2023
,,,,Thuc Nguyen-Quang; Minh-Triet Tran,1,,proceedings-article,10.1145/3628797.3628937,,,,,,,Few-shot Object Counting with Low-cost Counting Phase,https://doi.org/10.1145/3628797.3628937,ACM,survey_taxonomy,Collected from Crossref query.,CR_000010,,Crossref,object counting survey,DOI/metadata expansion,,Proceedings of the 12th International Symposium on Information and Communication Technology,2023
,,,,Yi Wang; Yuexian Zou; Wenwu Wang,9,,journal-article,10.1109/tip.2018.2799328,,,,,,,Manifold-Based Visual Object Counting,https://doi.org/10.1109/tip.2018.2799328,Institute of Electrical and Electronics Engineers (IEEE),survey_taxonomy,Collected from Crossref query.,CR_000011,,Crossref,object counting survey,DOI/metadata expansion,,IEEE Transactions on Image Processing,2018
"<jats:p>Abstract - The rapid advancements in unmanned aerial vehicles (UAVs) have revolutionized various industries, enabling their use in numerous applications such as surveillance, environmental monitoring, and data collection. UAVs offer unparalleled flexibility, speed, and access to areas that are otherwise difficult to reach, making them an essential tool in modern problem-solving. This project focuses on the development of a drone-based object counting mechanism that employs cutting-edge real-time image processing techniques to address the need for accurate and efficient object counting in various domains. By automating the process of object counting, this project aims to reduce labour costs, improve accuracy, and increase operational efficiency for users.

 

 

Key Words: Drone, Accuracy, Data Collection, Efficient, labour costs, UAVs.</jats:p>",,,,Rishikesh Nair,,,journal-article,10.55041/ijsrem49296,,,,,,,Drone Based Object Counting Mechanism,https://doi.org/10.55041/ijsrem49296,Edtech Publishers (OPC) Private Limited,survey_taxonomy,Collected from Crossref query.,CR_000012,,Crossref,object counting survey,DOI/metadata expansion,,INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,2025
,,,,Marco Godi; Christian Joppi; Andrea Giachetti; Marco Cristani,,,proceedings-article,10.1109/icpr48806.2021.9412138,,,,,,,SIMCO: SIMilarity-based object COunting,https://doi.org/10.1109/icpr48806.2021.9412138,IEEE,survey_taxonomy,Collected from Crossref query.,CR_000013,,Crossref,object counting survey,DOI/metadata expansion,,2020 25th International Conference on Pattern Recognition (ICPR),2021
