record_id,source,source_query,export_filename,paper_title,authors,year,venue,doi,arxiv_id,paper_url,abstract,author_keywords,index_keywords,citation_count,document_type,dataset_or_benchmark,modality,task_category,method_family,input_type,output_type,application_area,relevance_score,tier,reason_kept_or_removed,bibtex,pdf_saved,github_url,_normalized_title
SCOPUS_scopus_3d_rgbd_pointcloud_00001,Scopus,3d rgbd pointcloud,scopus_3d_rgbd_pointcloud.csv,Querying Autonomous Vehicle Point Clouds: Enhanced by 3D Object Counting with CounterNet,Zhang X.; Bao Z.; Dong H.; Wang Z.; Liu J.,2025,"MM 2025 - Proceedings of the 33rd ACM International Conference on Multimedia, Co-Located with MM 2025",10.1145/3746027.3755043,,https://www.scopus.com/pages/publications/105024074203?origin=resultslist,"Autonomous vehicles generate massive volumes of point cloud data, yet only a subset is relevant for specific tasks such as collision detection, traffic analysis, or congestion monitoring. Effectively querying this data is essential to enable targeted analytics. In this work, we formalize point cloud querying by defining three core query types: RETRIEVAL, COUNT, and AGGREGATION, each aligned with distinct analytical scenarios. All these queries rely heavily on accurate object counts to produce meaningful results, making precise object counting a critical component of query execution. Prior work has focused on indexing techniques for 2D video data, assuming detection models provide accurate counting information. However, when applied to 3D point cloud data, state-of-the-art detection models often fail to generate reliable object counts, leading to substantial errors in query results. To address this limitation, we propose CounterNet, a heatmap-based network designed for accurate object counting in large-scale point cloud data. Rather than focusing on accurate object localization, CounterNet detects object presence by finding object centers to improve counting accuracy. We further enhance its performance with a feature map partitioning strategy using overlapping regions, enabling better handling of both small and large objects in complex traffic scenes. To adapt to varying frame characteristics, we introduce a per-frame dynamic model selection strategy that selects the most effective configuration for each input. Evaluations on three real-world autonomous vehicle datasets show that CounterNet improves counting accuracy by 5% to 20% across object categories, resulting in more reliable query outcomes across all supported query types. © 2025 ACM.",autonomous vehicle; point cloud; query,Indexing (of information); Object detection; Object recognition; Query processing; Structured Query Language; Traffic congestion; Vehicle detection; 3D object; Autonomous Vehicles; Collision detection; Detection models; Object counting; Point cloud data; Point-clouds; Query; Query types; Specific tasks; Autonomous vehicles,0,Conference paper,,3d; point_cloud,Dataset/Benchmark; Detection/Segmentation-based,Dataset/Benchmark; Detection/Segmentation-based,Point Cloud; Text Prompt,Boxes + Count,crowd/traffic,,Exclude,duplicate DOI,,,,querying autonomous vehicle point clouds enhanced by 3d object counting with counternet
SCOPUS_scopus_3d_rgbd_pointcloud_00004,Scopus,3d rgbd pointcloud,scopus_3d_rgbd_pointcloud.csv,CountNet3D: A 3D Computer Vision Approach to Infer Counts of Occluded Objects,Jenkins P.; Armstrong K.; Nelson S.; Gotad S.; Jenkins J.S.; Wilkey W.; Watts T.,2023,"Proceedings - 2023 IEEE Winter Conference on Applications of Computer Vision, WACV 2023",10.1109/wacv56688.2023.00302,,https://www.scopus.com/pages/publications/85149012359?origin=resultslist,"3D scene understanding is an important problem that has experienced great progress in recent years, in large part due to the development of state-of-the-art methods for 3D object detection. However, the performance of 3D object detectors can suffer in scenarios where extreme occlusion of objects is present, or the number of object classes is large. In this paper, we study the problem of inferring 3D counts from densely packed scenes with heterogeneous objects. This problem has applications to important tasks such as inventory management or automatic crop yield estimation. We propose a novel regression-based method, CountNet3D, that uses mature 2D object detectors for finegrained classification and localization, and a PointNet backbone for geometric embedding. The network processes fused data from images and point clouds for end-to-end learning of counts. We perform experiments on a novel synthetic dataset for inventory management in retail, which we construct and make publicly available to the community. Our results show that regression-based 3D counting methods systematically outperform detection-based methods, and reveal that directly learning from raw point clouds greatly assists count estimation under extreme occlusion. Finally, we study the effectiveness of CountNet3D on a large dataset of real-world scenes where extreme occlusion is present and achieve an error rate of 11.01%. © 2023 IEEE.","3D computer vision; Applications: Commercial/retail; Image recognition and understanding (object detection, categorization, segmentation, scene modeling, visual reasoning)","Computer vision; Image recognition; Image segmentation; Inventory control; Large dataset; Object recognition; Three dimensional computer graphics; 3D computer vision; 3D object; Application: commercial/retail; Image recognition and understanding (object detection, categorization, segmentation, scene modeling, visual reasoning); Inventory management; Object detectors; Objects detection; Point-clouds; Scene model; Visual reasoning; Object detection",9,Conference paper,,3d; point_cloud,Dataset/Benchmark; Detection/Segmentation-based,Dataset/Benchmark; Detection/Segmentation-based,Point Cloud,Boxes + Count; Masks + Count,agriculture,,Exclude,duplicate DOI,,,,countnet3d a 3d computer vision approach to infer counts of occluded objects
SCOPUS_scopus_benchmarks_datasets_00022,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,A survey on class-agnostic counting: Advancements from reference-based to open-world text-guided approaches,Ciampi L.; Azmoudeh A.; Akbaba E.E.; Sarıtaş E.; Yazıcı Z.A.; Ekenel H.K.; Amato G.; Falchi F.,2026,Computer Vision and Image Understanding,10.1016/j.cviu.2026.104703,,https://www.scopus.com/pages/publications/105031965778?origin=resultslist,"Visual object counting has recently shifted towards class-agnostic counting (CAC), which addresses the challenge of counting objects across arbitrary categories—a crucial capability for flexible and generalizable counting systems. Unlike humans, who effortlessly identify and count objects from diverse categories without prior knowledge, most existing counting methods are restricted to enumerating instances of known classes, requiring extensive labeled datasets for training and struggling in open-vocabulary settings. In contrast, CAC aims to count objects belonging to classes never seen during training, operating in a few-shot setting. In this paper, we present the first comprehensive review of CAC methodologies. We propose a taxonomy to categorize CAC approaches into three paradigms based on how target object classes can be specified: reference-based, reference-less, and open-world text-guided. Reference-based approaches achieve state-of-the-art performance by relying on exemplar-guided mechanisms. Reference-less methods eliminate exemplar dependency by leveraging inherent image patterns. Finally, open-world text-guided methods use vision-language models, enabling object class descriptions via textual prompts, offering a flexible and promising solution. Based on this taxonomy, we provide an overview of 30 CAC architectures and report their performance on gold-standard benchmarks, discussing key strengths and limitations. Specifically, we present results on the FSC-147 dataset, setting a leaderboard using gold-standard metrics, and on the CARPK dataset to assess generalization capabilities. Finally, we offer a critical discussion of persistent challenges, such as annotation dependency and generalization, alongside future directions. We believe this survey offers a valuable resource for researchers, capturing the evolution of CAC and providing insights to guide future developments in the field. © 2026 The Author(s).",Class-agnostic counting; Deep learning; Few-shot counting; Object counting; Prompt-based counting,Benchmarking; Gold; Labeled data; Class-agnostic counting; Counting system; Deep learning; Few-shot counting; Gold standards; Object class; Object counting; Open world; Prompt-based counting; Visual objects; Deep learning,0,Article,FSC-147; CARPK,image; multimodal,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Foundation/Vision-language,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Foundation/Vision-language,Image; Text Prompt; Exemplar Boxes/Patches,Count Only,general visual counting,,Exclude,duplicate DOI,,,,a survey on class agnostic counting advancements from reference based to open world text guided approaches
SCOPUS_scopus_benchmarks_datasets_00036,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Open-World Object Counting in Videos,Amini-Naieni N.; Zisserman A.,2026,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v40i4.37214,,https://www.scopus.com/pages/publications/105034964081?origin=resultslist,"We introduce a new task of open-world object counting in videos: given a text description, or an image example, that specifies the target object, the objective is to enumerate all the unique instances of the target objects in the video. This task is especially challenging in crowded scenes with occlusions and objects of similar appearance, where avoiding double counting and identifying reappearances is crucial. To this end, we make the following contributions: we introduce a model, COUNTVID, for this task. It leverages an image-based counting model, and a promptable video segmentation and tracking model, to enable automated open-world object counting across video frames. To evaluate its performance, we introduce VIDEOCOUNT, a new dataset for this novel task built from the TAO and MOT20 tracking datasets, as well as from videos of penguins and metal alloy crystallization captured by x-rays. Using this dataset, we demonstrate that COUNTVID provides accurate object counts, and significantly outperforms strong baselines. © 2026, Association for the Advancement of Artificial Intelligence. All rights reserved.",,Artificial intelligence; Object tracking; Video analysis; Counting models; Double counting; Image-based; Object counting; Open world; Segmentation and tracking; Segmentation models; Target object; Video segmentation; Video-tracking; Image segmentation,0,Conference paper,VideoCount; CountVid,video,Dataset/Benchmark; Tracking/Unique-count,Dataset/Benchmark; Tracking/Unique-count,Video; Text Prompt,Tracks + Unique Count; Masks + Count,crowd/traffic,,Exclude,duplicate DOI,,,,open world object counting in videos
SCOPUS_scopus_benchmarks_datasets_00108,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Dynamic example network for class-agnostic object counting,Liu X.; Li G.; Qi Y.; Yan Z.; Zhang W.; Qing L.; Huang Q.,2026,Pattern Recognition,10.1016/j.patcog.2025.111998,,https://www.scopus.com/pages/publications/105009049366?origin=resultslist,"This work addresses the class-agnostic counting and localization task, a critical challenge in computer vision where the goal is to count and locate objects of any category in an image using a few annotated examples. The primary challenge arises from the limited information on appearance due to the lack of diverse examples, which hampers the model's ability to generalize to varied object appearances. To tackle this issue, we propose a dynamic example network (DEN), consisting of a Location and Example Decoder module (LEDM) designed to incrementally expand the set of examples and refine predictions through multiple iterations. Additionally, our negative example mining strategy identifies informative negative examples across the entire dataset, further improving the model's discriminative capacity. Extensive experiments on five datasets—FSC-147, FSCD-LVIS, CARPARK, UAVCC, and Visdrone—demonstrate the effectiveness of our approach, showing marked improvements over several state-of-the-art methods. The source code and trained models will be publicly accessible to facilitate further research and application in the field. © 2025 Elsevier Ltd",Counting everything; Dynamic network; Few-shot counting,Counting everything; Critical challenges; Dynamic network; Few-shot counting; Limited information; Localisation; Modeling abilities; Negative examples; Object appearance; Object counting; Data mining,3,Article,FSC-147,remote_sensing; aerial,Dataset/Benchmark; Few-shot/Class-agnostic,Dataset/Benchmark; Few-shot/Class-agnostic,Remote Sensing Image; Exemplar Boxes/Patches,Boxes + Count,remote sensing/aerial,,Exclude,duplicate DOI,,,,dynamic example network for class agnostic object counting
SCOPUS_scopus_benchmarks_datasets_00136,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Towards a novel few-shot object counting paradigm with point-guided exemplar prompt in Industrial Internet of Things,Zhai G.; Han S.; Chen K.; Zhang S.,2026,Future Generation Computer Systems,10.1016/j.future.2025.107946,,https://www.scopus.com/pages/publications/105007606709?origin=resultslist,"With the rapid development of computing infrastructure and the increasing demand for big data processing, object counting has emerged as a critical and challenging task. Few-Shot Object Counting (FSOC) aims to estimate the number of objects in any category based on a few visual exemplar prompts. Existing methods typically rely on bounding boxes to guide the model in understanding the correlation between visual exemplars and the query image, followed by regressing a density map for counting. However, despite the growing overall average performance, we contend that the exploration of more generic counting frameworks has not received adequate attention. In this work, we propose a novel Point-guided Exemplar Prompting Network (PEPNet), a new framework that uses point annotations as prompts to guide object counting. PEPNet consists of two core components: a Multi-scale Attention Fusion Module (MAFM) and an Iterative Encoding Matching Module (IEMM). MAFM integrates spatial and channel attention mechanisms to adaptively highlight critical regions while capturing multi-scale features, effectively balancing global context and local details. IEMM, for the first time, employs a point-guided prompting strategy to iteratively encode visual exemplars, suppressing irrelevant features and enhancing important ones. In particular, the multi-head similarity matching block in IEMM refines the matching process progressively, improving the correlation between exemplars and the query image, thereby boosting object recognition and counting accuracy. Extensive experiments on multiple benchmark datasets, including FSC-147, Val-COCO, Test-COCO, CARPK, and ShanghaiTech, demonstrate the effectiveness of PEPNet. Notably, on the FSC-147 validation set, our method achieves a performance improvement of 1.9% in Mean Absolute Error (MAE) and 12.3% in Root Mean Square Error (RMSE) compared to the state-of-the-art SPDCN. Additionally, on the test set, we observe performance improvements of 0.2% in MAE and 21.5% in RMSE. The source code is available at https://github.com/zhaigz/PEPNet. © 2025 Elsevier B.V.",Few-shot object counting; Multi-head attention mechanism; Multi-scale attention fusion; Point-guided exemplar prompt,Data reduction; Object detection; Attention mechanisms; Encodings; Few-shot object counting; Matchings; Multi-head attention mechanism; Multi-scale attention fusion; Multi-scales; Object counting; Performance; Point-guided exemplar prompt; Large datasets,1,Article,FSC-147; CARPK; ShanghaiTech,image,Dataset/Benchmark; Few-shot/Class-agnostic; Density-based; Detection/Segmentation-based,Dataset/Benchmark; Few-shot/Class-agnostic; Density-based; Detection/Segmentation-based,Image; Text Prompt; Exemplar Boxes/Patches,Density Map + Count; Boxes + Count,general visual counting,,Exclude,duplicate DOI,,,,towards a novel few shot object counting paradigm with point guided exemplar prompt in industrial internet of things
SCOPUS_scopus_benchmarks_datasets_00194,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Object Counting with GPT-4o and GPT-5: A Comparative Study,Füzesséry R.; Saleh K.; Szénási S.; Vámossy Z.,2026,"Proceedings of the International Symposium on Applied Machine Intelligence and Informatics, SAMI",10.1109/sami68106.2026.11420494,,https://www.scopus.com/pages/publications/105035481968?origin=resultslist,"Zero-shot object counting attempts to estimate the number of object instances belonging to novel categories that the vision model performing the counting has never encountered during training. Existing methods typically require large amount of annotated data and often require visual exemplars to guide the counting process. However, large language models (LLMs) are powerful tools with remarkable reasoning and data understanding abilities, which suggest the possibility of utilizing them for counting tasks without any supervision. In this work we aim to leverage the visual capabilities of two multi-modal LLMs, GPT-4o and GPT-5, to perform object counting in a zero-shot manner using only textual prompts. We evaluate both models on the FSC-147 and CARPK datasets and provide a comparative analysis. Our findings show that the models achieve performance comparable to the state-of-the-art zero-shot approaches on FSC-147, in some cases, even surpass them. ©2026 IEEE.",large language models; LLMs; Zero-shot counting,Comparatives studies; Counting process; Language model; Large amounts; Large language model; Object counting; Vision model; Zero-shot counting; Computer vision,0,Conference paper,FSC-147; CARPK,image; multimodal,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Foundation/Vision-language,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Foundation/Vision-language,Image; Text Prompt; Exemplar Boxes/Patches,Count Only,general visual counting,,Exclude,duplicate DOI,,,,object counting with gpt 4o and gpt 5 a comparative study
SCOPUS_scopus_benchmarks_datasets_00196,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Text Instructed Zero-Shot Object Counting with Spatial Prior Guidance Network,Zhai W.; Li W.; Fan Z.; Zhang T.; Xing X.,2025,"Conference Proceedings - 2025 International Symposium on Intelligent Robotics and Systems, ISoIRS 2025",10.1109/isoirs65690.2025.11167984,,https://www.scopus.com/pages/publications/105018213062?origin=resultslist,"The majority of existing counting models are designed to operate on a singular object category, for instance, pedestrians or vehicles. The rise of multi-modality base networks, such as CLIP (Contrastive Language-Image Pre-training), has paved the way for object counting. This approach facilitates the counting of objects across diverse classeswithin one image by leveraging textual prompts. However, some counting models based on CLIP confront a primary challenge. Specially, the CLIP model exhibits limited sensitivity towards location information, which prioritizes global content over the precise localization of objects. Consequently, directly employing the CLIP model is regarded as suboptimal. To address the sensitivity issue of object position in multimodal models based on CLIP in object counting, we propose a spatial prior guidance (SPG) network in this paper. The spatial prior guidance module attempts to extract spatial positions for guiding the vision encoder. Thus, it concentrates on the specific object regions. Experimental results on FSC-147 and ShanghaiTech benchmark datasets demonstrate that our approach outperforms other methods. © 2025 IEEE.",Multimodal model; Object counting; Spatial positions,Counting models; Model-based OPC; Multi-modality; Multimodal models; Object categories; Object counting; Pre-training; Spatial positions; Spatial priors; Training model; Networks (circuits),0,Conference paper,FSC-147; ShanghaiTech,image; multimodal,Dataset/Benchmark; Zero-shot/Open-vocabulary; Foundation/Vision-language,Dataset/Benchmark; Zero-shot/Open-vocabulary; Foundation/Vision-language,Image; Text Prompt,Boxes + Count,crowd/traffic,,Exclude,duplicate DOI,,,,text instructed zero shot object counting with spatial prior guidance network
SCOPUS_scopus_benchmarks_datasets_00208,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,PolaCount: Text-specified zero-shot object counting with pyramid polarity-aware cross-attention,Qian C.; Cao J.; Mao Y.; Liu K.; Zhu P.; Sang J.,2025,Neurocomputing,10.1016/j.neucom.2025.131135,,https://www.scopus.com/pages/publications/105012265519?origin=resultslist,"Accurate open-world object counting demands fine-grained cross-modal alignment and scale-aware reasoning. We introduce PolaCount, a zero-shot counting framework that leverages a Pyramid Polarity-Aware Cross-Attention Module (PPCAM) to bidirectionally fuse textual and visual features at multiple resolutions. PPCAM divides queries and keys into positive and negative subspaces and applies dual cross-attention, generating sharply focused density maps. Coupled with high-quality DINOv2 visual representations and trained end-to-end using density supervision alone, PolaCount achieves state-of-the-art performance on FSC-147, CARPK, and ShanghaiTech datasets without exemplar boxes or class-specific fine-tuning. © 2025 Elsevier B.V.",Multimodal; Pyramid polarity-aware attention; Zero-shot object counting,Cross-modal; Fine grained; Multi-modal; Multiple resolutions; Object counting; Open world; Pyramid polarity-aware attention; Textual features; Visual feature; Zero-shot object counting; article; controlled study; drug therapy; human; reasoning; Behavioral research,2,Article,FSC-147; CARPK; ShanghaiTech,image,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Density-based,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary; Density-based,Image; Exemplar Boxes/Patches,Density Map + Count,general visual counting,,Exclude,duplicate DOI,,,,polacount text specified zero shot object counting with pyramid polarity aware cross attention
SCOPUS_scopus_benchmarks_datasets_00230,Scopus,benchmarks datasets,scopus_benchmarks_datasets.csv,Mutually-aware feature learning for few-shot object counting,Jeon Y.; Lee S.; Kim J.; Heo J.-P.,2025,Pattern Recognition,10.1016/j.patcog.2024.111276,,https://www.scopus.com/pages/publications/85212938093?origin=resultslist,"Few-shot object counting has garnered significant attention for its practicality as it aims to count target objects in a query image based on given exemplars without additional training. However, the prevailing extract-and-match approach has a shortcoming: query and exemplar features lack interaction during feature extraction since they are extracted independently and later correlated based on similarity. This can lead to insufficient target awareness and confusion in identifying the actual target when multiple class objects coexist. To address this, we propose a novel framework, Mutually-Aware FEAture learning (MAFEA), which encodes query and exemplar features with mutual awareness from the outset. By encouraging interaction throughout the pipeline, we obtain target-aware features robust to a multi-category scenario. Furthermore, we introduce background token to effectively associate the query's target region with exemplars and decouple its background region. Our extensive experiments demonstrate that our model achieves state-of-the-art performance on FSCD-LVIS and FSC-147 benchmarks with remarkably reduced target confusion. © 2024",Class-agnostic counting; Deep learning; Few-shot learning; Few-shot object counting; Object counting,Adversarial machine learning; Contrastive Learning; Federated learning; Structured Query Language; Class-agnostic counting; Deep learning; Feature learning; Few-shot learning; Few-shot object counting; Image-based; Object counting; Query images; Target object; Zero-shot learning,3,Article,FSC-147,image,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary,Dataset/Benchmark; Few-shot/Class-agnostic; Zero-shot/Open-vocabulary,Image; Text Prompt; Exemplar Boxes/Patches,Count Only,general visual counting,,Exclude,duplicate DOI,,,,mutually aware feature learning for few shot object counting
