abstract,application_area,arxiv_id,author_keywords,authors,bibtex,citation_count,dataset_or_benchmark,document_type,doi,index_keywords,influential_citation_count,input_type,is_open_access,method_family,modality,open_access_pdf,output_type,paper_title,paper_url,reason_kept_or_removed,record_id,reference_count,relation,relevance_score,s2_publication_date,semantic_scholar_id,semantic_scholar_url,source,source_paper_id,source_paper_title,source_query,task_category,tier,venue,year
"Open-world object counting remains brittle: despite rapid advances in vision-language models (VLMs), reliably counting the objects a user intends is far from solved. We argue that a central reason is that counting granularity is left implicit; users may refer to a specific identity, an attribute, an instance type, a category, or an abstract concept, yet most methods treat""what to count""as a single, category-level matching problem. In this work, we redefine open-world counting as multi-grained counting, where visual exemplars specify target appearance and fine-grained text, with optional negative prompts, specifies the intended semantic granularity across five explicit levels. Making granularity explicit, however, exposes a critical data bottleneck: existing counting datasets lack the multi-category scenes, controlled distractors, and instance-level annotations needed to verify fine-grained prompt semantics. To address this, we propose the first fully automatic data-scaling pipeline that integrates controllable 3D synthesis with consistent image editing and VLM-based filtering, and use it to construct KubriCount, the largest and most comprehensively annotated counting dataset to date, supporting both training and multi-grained evaluation. Systematic benchmarking reveals that both multimodal large language models and specialist counting models exhibit severe prompt-following failures under fine-grained distinctions. Motivated by these findings, we train HieraCount, a multi-grained counting model that jointly leverages text and visual exemplars as complementary target specifications. HieraCount substantially improves multi-grained counting accuracy and generalizes robustly to challenging real-world scenarios. The project page is available here: https://verg-avesta.github.io/KubriCount/.",,2605.10887,,Chang Liu; Haoning Wu; Weidi Xie,,0,,,,Computer Science,0,,,,,,,Count Anything at Any Granularity,https://www.semanticscholar.org/paper/54e3a7110c5707af40badd6c9203528daf925574,Collected from Semantic Scholar API.,S2_54e3a7110c5707af40badd6c9203528daf925574,,citation,,,54e3a7110c5707af40badd6c9203528daf925574,https://www.semanticscholar.org/paper/54e3a7110c5707af40badd6c9203528daf925574,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,,2026
"Open-world text-guided class-agnostic counting (CAC) has emerged as a flexible paradigm for counting arbitrary object classes by using natural language prompts. However, current evaluation protocols primarily focus on standard counting errors within single-category images, overlooking a fundamental requirement: the ability to correctly ground the textual prompt in the visual scene. In this paper, we show that several state-of-the-art CAC models often struggle to determine which object class should be counted based on the given prompt, revealing a misalignment between textual semantics and visual object representations. This limitation leads to spurious counting responses and reduced reliability in real-world scenarios. To systematically address these limitations, we propose a new evaluation framework focused on model robustness and trustworthiness. Our contribution is two-fold: (i) we introduce PrACo++ (Prompt-Aware Counting++), a novel test suite featuring two dedicated evaluation protocols -- the negative-label test and the distractor test -- paired with new specialized metrics; and (ii) we present the MUCCA (MUlti-Category Class-Agnostic counting) evaluation dataset, a new collection of real-world images featuring multiple annotated object categories per scene, unlike existing CAC benchmarks that typically include a single category per image. Our extensive experimental evaluation of 10 state-of-the-art methods shows that, despite strong performance under standard counting metrics, current models exhibit significant weaknesses in understanding and grounding object class descriptions. Finally, we provide a quantitative analysis of how semantic similarity between prompts influences these failures. Overall, our results underscore the need for more semantically grounded architectures and offer a reliable framework for future assessment in open-world text-guided CAC methods.",,2605.02752,,Giacomo Pacini; Luca Ciampi; Nicola Messina; Nicola Tonellotto; G. Amato; Fabrizio Falchi,,0,,,,Computer Science,0,,,,,,,Does it Really Count? Assessing Semantic Grounding in Text-Guided Class-Agnostic Counting,https://www.semanticscholar.org/paper/ed18773785c6d07b45cc52a4263cd788d088e4c5,Collected from Semantic Scholar API.,S2_ed18773785c6d07b45cc52a4263cd788d088e4c5,,citation,,,ed18773785c6d07b45cc52a4263cd788d088e4c5,https://www.semanticscholar.org/paper/ed18773785c6d07b45cc52a4263cd788d088e4c5,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,,2026
,,,,Ziqiang Shi; Rujie Liu; Jun Takahashi; Shan Jiang,,0,,Conference,10.1109/icassp55912.2026.11462715,,0,,,,,,,RealCount: Robust Open-World Object Counting via Duplex Contrastive Learning,https://www.semanticscholar.org/paper/aed3827224723c8e99da29d3e80ed85312f26486,Collected from Semantic Scholar API.,S2_aed3827224723c8e99da29d3e80ed85312f26486,,citation,,,aed3827224723c8e99da29d3e80ed85312f26486,https://www.semanticscholar.org/paper/aed3827224723c8e99da29d3e80ed85312f26486,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2026
,,,,Hao-Yuan Ma; Li Zhang; Minjie Qiang,,0,,Conference,10.1109/icassp55912.2026.11463312,,0,,,,,,,OVID: Text-Guided Open-Vocabulary Dense Object Counting and Localization,https://www.semanticscholar.org/paper/f7b92db90373f694116ef06fe6be9f14b3a600d1,Collected from Semantic Scholar API.,S2_f7b92db90373f694116ef06fe6be9f14b3a600d1,,citation,,,f7b92db90373f694116ef06fe6be9f14b3a600d1,https://www.semanticscholar.org/paper/f7b92db90373f694116ef06fe6be9f14b3a600d1,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,"IEEE International Conference on Acoustics, Speech, and Signal Processing",2026
"We present Seed1.8, a foundation model aimed at generalized real-world agency: going beyond single-turn prediction to multi-turn interaction, tool use, and multi-step execution. Seed1.8 keeps strong LLM and vision-language performance while supporting a unified agentic interface-search, code generation and execution, and GUI interaction. For deployment, it offers latency- and cost-aware inference, including configurable thinking modes and optimized visual encoding for images and video. We report evaluations on standard benchmarks and application-aligned workflows spanning foundational skills, multimodal understanding, and agentic behavior. Seed1.8 is released to support further research and development on interactive, real-world use cases.",,2603.20633,,ByteDance Seed,,31,,,,Computer Science,5,,,,,,,Seed1.8 Model Card: Towards Generalized Real-World Agency,https://www.semanticscholar.org/paper/f51fc8491b71428dbf9a5d76da598c4fffa3c4f0,Collected from Semantic Scholar API.,S2_f51fc8491b71428dbf9a5d76da598c4fffa3c4f0,,citation,,,f51fc8491b71428dbf9a5d76da598c4fffa3c4f0,https://www.semanticscholar.org/paper/f51fc8491b71428dbf9a5d76da598c4fffa3c4f0,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,,2026
"This paper presents CountEx, a discriminative visual counting framework designed to address a key limitation of existing prompt-based methods: the inability to explicitly exclude visually similar distractors. While current approaches allow users to specify what to count via inclusion prompts, they often struggle in cluttered scenes with confusable object categories, leading to ambiguity and overcounting. CountEx enables users to express both inclusion and exclusion intent, specifying what to count and what to ignore, through multimodal prompts including natural language descriptions and optional visual exemplars. At the core of CountEx is a novel Discriminative Query Refinement module, which jointly reasons over inclusion and exclusion cues by first identifying shared visual features, then isolating exclusion-specific patterns, and finally applying selective suppression to refine the counting query. To support systematic evaluation of fine-grained counting methods, we introduce CoCount, a benchmark comprising 1,780 videos and 10,086 annotated frames across 97 category pairs. Experiments show that CountEx achieves substantial improvements over state-of-the-art methods for counting objects from both known and novel categories. The data and code are available at https://github.com/bbvisual/CountEx.",,2602.19432,,Yifeng Huang; Gia Khanh Nguyen; Minh Hoai,,0,,JournalArticle,10.48550/arxiv.2602.19432,Computer Science,0,,,,,,,CountEx: Fine-Grained Counting via Exemplars and Exclusion,https://www.semanticscholar.org/paper/73e9a071556b445040b22bb29568fdbd431be6e0,Collected from Semantic Scholar API.,S2_73e9a071556b445040b22bb29568fdbd431be6e0,,citation,,,73e9a071556b445040b22bb29568fdbd431be6e0,https://www.semanticscholar.org/paper/73e9a071556b445040b22bb29568fdbd431be6e0,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,arXiv.org,2026
"Object counting is a fundamental task in computer vision, with broad applicability in many real-world scenarios. Fully-supervised counting methods require costly point-level annotations per object. Few weakly-supervised methods leverage only image-level object counts as supervision and achieve fairly promising results. They are, however, often limited to counting a single category, e.g. person. In this paper, we propose WS-COC, the first MLLM-driven weakly-supervised framework for class-agnostic object counting. Instead of directly fine-tuning MLLMs to predict object counts, which can be challenging due to the modality gap, we incorporate three simple yet effective strategies to bootstrap the counting paradigm in both training and testing: First, a divide-and-discern dialogue tuning strategy is proposed to guide the MLLM to determine whether the object count falls within a specific range and progressively break down the range through multi-round dialogue. Second, a compare-and-rank count optimization strategy is introduced to train the MLLM to optimize the relative ranking of multiple images according to their object counts. Third, a global-and-local counting enhancement strategy aggregates and fuses local and global count predictions to improve counting performance in dense scenes. Extensive experiments on FSC-147, CARPK, PUCPR+, and ShanghaiTech show that WS-COC matches or even surpasses many state-of-art fully-supervised methods while significantly reducing annotation costs. Code is available at https://github.com/viscom-tongji/WS-COC.",,2602.12774,,Xiaowen Zhang; Zijie Yue; Yong Luo; Cairong Zhao; Qijun Chen; Miaojing Shi,,0,,JournalArticle,10.48550/arxiv.2602.12774,Computer Science,0,,,,,,,Bootstrapping MLLM for Weakly-Supervised Class-Agnostic Object Counting,https://www.semanticscholar.org/paper/2c1d4f23386699513710332bad50bf870dffdc4a,Collected from Semantic Scholar API.,S2_2c1d4f23386699513710332bad50bf870dffdc4a,,citation,,,2c1d4f23386699513710332bad50bf870dffdc4a,https://www.semanticscholar.org/paper/2c1d4f23386699513710332bad50bf870dffdc4a,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,arXiv.org,2026
"Accurate counting of surgical instruments in Operating Rooms (OR) is a critical prerequisite for ensuring patient safety during surgery. Despite recent progress of large visual-language models and agentic AI, accurately counting such instruments remains highly challenging, particularly in dense scenarios where instruments are tightly clustered. To address this problem, we introduce Chain-of-Look, a novel visual reasoning framework that mimics the sequential human counting process by enforcing a structured visual chain, rather than relying on classic object detection which is unordered. This visual chain guides the model to count along a coherent spatial trajectory, improving accuracy in complex scenes. To further enforce the physical plausibility of the visual chain, we introduce the neighboring loss function, which explicitly models the spatial constraints inherent to densely packed surgical instruments. We also present SurgCount-HD, a new dataset comprising 1,464 high-density surgical instrument images. Extensive experiments demonstrate that our method outperforms state-of-the-art approaches for counting (e.g., CountGD, REC) as well as Multimodality Large Language Models (e.g., Qwen, ChatGPT) in the challenging task of dense surgical instrument counting. The code and dataset is available at https://github.com/rishi1134/CoLSR.git",,2602.11024,,Rishikesh Bhyri; Brian R Quaranto; Philip J. Seger; Kaity Tung; B. Fox; Gene Yang; Steven D. Schwaitzberg; Junsong Yuan; Nan Xi; Peter C W Kim,,0,,JournalArticle; Conference,10.1109/wacv61042.2026.00822,Computer Science,0,,,,,,,Chain-of-Look Spatial Reasoning for Dense Surgical Instrument Counting,https://www.semanticscholar.org/paper/127cf23ee0b688e9b7251b391563ae9bb34390a9,Collected from Semantic Scholar API.,S2_127cf23ee0b688e9b7251b391563ae9bb34390a9,,citation,,,127cf23ee0b688e9b7251b391563ae9bb34390a9,https://www.semanticscholar.org/paper/127cf23ee0b688e9b7251b391563ae9bb34390a9,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,IEEE Workshop/Winter Conference on Applications of Computer Vision,2026
"The flexibility and accuracy of methods for automatically counting objects in images and videos are limited by the way the object can be specified. While existing methods allow users to describe the target object with text and visual examples, the visual examples must be manually annotated inside the image, and there is no way to specify what not to count. To address these gaps, we introduce novel capabilities that expand how the target object can be specified. Specifically, we extend the prompt to enable what not to count to be described with text and/or visual examples, introduce the concept of `pseudo-exemplars'that automate the annotation of visual examples at inference, and extend counting models to accept visual examples from both natural and synthetic external images. We also use our new counting model, CountGD++, as a vision expert agent for an LLM. Together, these contributions expand the prompt flexibility of multi-modal open-world counting and lead to significant improvements in accuracy, efficiency, and generalization across multiple datasets. Code is available at https://github.com/niki-amini-naieni/CountGDPlusPlus.",,2512.23351,,Niki Amini-Naieni; Andrew Zisserman,,1,,JournalArticle,10.48550/arxiv.2512.23351,Computer Science,0,,,,,,,CountGD++: Generalized Prompting for Open-World Counting,https://www.semanticscholar.org/paper/8e216ba0d0796c9f0dffc1866211c9a0ec2cb5ce,Collected from Semantic Scholar API.,S2_8e216ba0d0796c9f0dffc1866211c9a0ec2cb5ce,,citation,,,8e216ba0d0796c9f0dffc1866211c9a0ec2cb5ce,https://www.semanticscholar.org/paper/8e216ba0d0796c9f0dffc1866211c9a0ec2cb5ce,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,arXiv.org,2025
"Zero-shot object counting attempts to estimate the number of object instances belonging to novel categories that the vision model performing the counting has never encountered during training. Existing methods typically require large amount of annotated data and often require visual exemplars to guide the counting process. However, large language models (LLMs) are powerful tools with remarkable reasoning and data understanding abilities, which suggest the possibility of utilizing them for counting tasks without any supervision. In this work we aim to leverage the visual capabilities of two multi-modal LLMs, GPT-4o and GPT-5, to perform object counting in a zero-shot manner using only textual prompts. We evaluate both models on the FSC-147 and CARPK datasets and provide a comparative analysis. Our findings show that the models achieve performance comparable to the state-of-the-art zero-shot approaches on FSC-147, in some cases, even surpass them.",,2512.03233,,Richard Füzesséry; Kaziwa Saleh; S'andor Sz'en'asi; Zoltán Vámossy,,0,,JournalArticle,10.1109/sami68106.2026.11420494,Computer Science,0,,,,,,,Object Counting with GPT-4o and GPT-5: A Comparative Study,https://www.semanticscholar.org/paper/b5cce1b3369820108caeef9562cbb002b0a43c0e,Collected from Semantic Scholar API.,S2_b5cce1b3369820108caeef9562cbb002b0a43c0e,,citation,,,b5cce1b3369820108caeef9562cbb002b0a43c0e,https://www.semanticscholar.org/paper/b5cce1b3369820108caeef9562cbb002b0a43c0e,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,citation of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,International Symposium on Applied Machine Intelligence and Informatics,2025
