abstract,application_area,arxiv_id,author_keywords,authors,bibtex,citation_count,dataset_or_benchmark,document_type,doi,index_keywords,influential_citation_count,input_type,is_open_access,method_family,modality,open_access_pdf,output_type,paper_title,paper_url,reason_kept_or_removed,record_id,reference_count,relevance_score,s2_publication_date,semantic_scholar_id,semantic_scholar_url,source,source_query,task_category,tier,venue,year
"Our objective is open-world object counting in images, where the target object class is specified by a text description. To this end, we propose CounTX, a class-agnostic, single-stage model using a transformer decoder counting head on top of pre-trained joint text-image representations. CounTX is able to count the number of instances of any class given only an image and a text description of the target object class, and can be trained end-to-end. In addition to this model, we make the following contributions: (i) we compare the performance of CounTX to prior work on open-world object counting, and show that our approach exceeds the state of the art on all measures on the FSC-147 benchmark for methods that use text to specify the task; (ii) we present and release FSC-147-D, an enhanced version of FSC-147 with text descriptions, so that object classes can be described with more detailed language than their simple class names. FSC-147-D and the code are available at https://www.robots.ox.ac.uk/~vgg/research/countx.",,2306.01851,,Niki Amini-Naieni; Kiana Amini-Naieni; Tengda Han; Andrew Zisserman,"@Article{Amini-Naieni2023OpenworldTO, author = {Niki Amini-Naieni and Kiana Amini-Naieni and Tengda Han and Andrew Zisserman}, booktitle = {British Machine Vision Conference}, journal = {ArXiv}, title = {Open-world Text-specified Object Counting}, volume = {abs/2306.01851}, year = {2023} }",44,,JournalArticle,10.48550/arxiv.2306.01851,Computer Science,6,,True,,,https://arxiv.org/pdf/2306.01851,,Open-world Text-specified Object Counting,https://www.semanticscholar.org/paper/2274769488f95221c2f5090c1d9bc16c3ef6b16c,Collected from Semantic Scholar API.,S2_2274769488f95221c2f5090c1d9bc16c3ef6b16c,35,,,2274769488f95221c2f5090c1d9bc16c3ef6b16c,https://www.semanticscholar.org/paper/2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar,DOI:10.48550/arxiv.2306.01851,Semantic Scholar metadata,,British Machine Vision Conference,2023
"Class-agnostic object counting aims to count object instances of an arbitrary class at test time. Current methods for this challenging problem require human-annotated exemplars as inputs, which are often unavailable for novel categories, especially for autonomous systems. Thus, we propose zero-shot object counting (ZSC), a new setting where only the class name is available during test time. Such a counting system does not require human annotators in the loop and can operate automatically. Starting from a class name, we propose a method that can accurately identify the optimal patches which can then be used as counting exemplars. Specifically, we first construct a class prototype to select the patches that are likely to contain the objects of interest, namely class-relevant patches. Furthermore, we introduce a model that can quantitatively measure how suitable an arbitrary patch is as a counting exemplar. By applying this model to all the candidate patches, we can select the most suitable patches as exemplars for counting. Experimental results on a recent class-agnostic counting dataset, FSC-147, validate the effectiveness of our method. Code is available at https://github.com/cvlabstonybrook/zero-shot-counting.",,2303.02001,,Jingyi Xu; Hieu Le; Vu Nguyen; Viresh Ranjan; D. Samaras,"@Article{Xu2023ZeroShotOC, author = {Jingyi Xu and Hieu Le and Vu Nguyen and Viresh Ranjan and D. Samaras}, booktitle = {Computer Vision and Pattern Recognition}, journal = {2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)}, pages = {15548-15557}, title = {Zero-Shot Object Counting}, year = {2023} }",85,,JournalArticle; Conference,10.1109/cvpr52729.2023.01492,Computer Science,18,,True,,,https://arxiv.org/pdf/2303.02001,,Zero-Shot Object Counting,https://www.semanticscholar.org/paper/a8e4a19be7d89e6ef17e47184ef128fbf16772d8,Collected from Semantic Scholar API.,S2_a8e4a19be7d89e6ef17e47184ef128fbf16772d8,58,,2023-03-03,a8e4a19be7d89e6ef17e47184ef128fbf16772d8,https://www.semanticscholar.org/paper/a8e4a19be7d89e6ef17e47184ef128fbf16772d8,Semantic Scholar,DOI:10.1109/cvpr52729.2023.01492,Semantic Scholar metadata,,Computer Vision and Pattern Recognition,2023
"In recent decades, remote sensing object counting has attracted increasing attention from academia and industry due to its potential benefits in urban traffic, public safety, and road planning. However, this issue is becoming a challenge for computer vision because of various technical barriers, such as large-scale variation, complex background interference, and nonuniform density distribution. Recent results show hopeful prospects for object counting using convolutional neural networks (CNNs), but most existing CNN-based methods draw on larger and more complex architectures, which leads to a huge computational and storage burdens, severely limiting their application in real-world scenarios. In this article, a lightweight multiscale feature fusion network for remote sensing object counting, named LMSFFNet, is presented to achieve a better balance between the running speed of the network and the counting accuracy. Specifically, in the encoding process, we select a MobileViT module as the backbone of the network to reduce the numbers of network parameters and computing cost. In return, a cascade structure of the channel–spatial attention mechanisms compensates for the weaker feature extraction ability of the lightweight network. In the decoding process, a lightweight multiscale context fusion module (LMCFM) as a multiscale feature fusion module is developed to solve the problem that the number of parameters increases with the expansion of the object scale when extracting multiscale features. In addition, a lightweight counting scale pooling module (LCSPM) is used to mine the subtle features of the target object. Two kinds of typical object counting experiments, namely, experiments on remote sensing benchmarks (RSOC dataset) and crowd benchmarks (ShanghaiTech, UCF-QNRF, and UCF_CC_50 datasets), show the effectiveness of the proposed method.",,,,Jun Yi; Zhilong Shen; Fan Chen; Yiheng Zhao; Shan Xiao; Wei Zhou,"@Article{Yi2023ALM, author = {Jun Yi and Zhilong Shen and Fan Chen and Yiheng Zhao and Shan Xiao and Wei Zhou}, booktitle = {IEEE Transactions on Geoscience and Remote Sensing}, journal = {IEEE Transactions on Geoscience and Remote Sensing}, pages = {1-13}, title = {A Lightweight Multiscale Feature Fusion Network for Remote Sensing Object Counting}, volume = {61}, year = {2023} }",53,,JournalArticle,10.1109/tgrs.2023.3238185,Computer Science,1,,False,,,,,A Lightweight Multiscale Feature Fusion Network for Remote Sensing Object Counting,https://www.semanticscholar.org/paper/2d832af6448087999c27abdc8288d644c95d5844,Collected from Semantic Scholar API.,S2_2d832af6448087999c27abdc8288d644c95d5844,66,,,2d832af6448087999c27abdc8288d644c95d5844,https://www.semanticscholar.org/paper/2d832af6448087999c27abdc8288d644c95d5844,Semantic Scholar,DOI:10.1109/tgrs.2023.3238185,Semantic Scholar metadata,,IEEE Transactions on Geoscience and Remote Sensing,2023
"Counting objects in remote sensing is crucial for analyzing their distribution in images. Compared to surveillance perspectives, counting dense objects in remote sensing images is more challenging due to the smaller sizes of these targets. Recently, many methods utilize Gaussian convolution regression to estimate the count of dense objects in remote sensing images. However, most methods ignore the issue of regression imbalance inherent in Gaussian distribution, which is caused by the numerical differences in the center and edge regions. To tackle this challenge, we propose a balanced density regression network (BDRNet) to mitigate regression inaccuracies in Gaussian distributions due to numerical variances. Different from other methods, we divide the regression problem into two steps: first focusing on the regions of interest and then achieving precise regression. BDRNet consists of an adaptive kernel weighting attention (AKWA) mechanism and a pixelwise occupancy prediction module. First, AKWA is designed to acquire accurate semantic feature information, which is obtained by learning the weights of dilated convolutions with different sizes of receptive fields. Second, the Pixel-wise Occupancy Estimation (PwOE) module applies Gaussian position embeddings to point labels to constrain the network to focus on the object region without increasing annotation cost. Finally, the integration of pixelwise occupancy prediction features and kernel weighting features forms multilayer cross-attention mechanisms, facilitating channel-level feature interaction and improving density regression predictions. Thus, the center and edge regions of the Gaussian kernel are treated equally, and the regression is balanced. Additionally, extensive experiments on diverse datasets validate the effectiveness of the method, resulting in preferable performance. The code is available at: https://github.com/HotChieh/BDRNet.",,,,Haojie Guo; Junyu Gao; Yuan Yuan,"@Article{Guo2024BalancedDR, author = {Haojie Guo and Junyu Gao and Yuan Yuan}, booktitle = {IEEE Transactions on Geoscience and Remote Sensing}, journal = {IEEE Transactions on Geoscience and Remote Sensing}, pages = {1-13}, title = {Balanced Density Regression Network for Remote Sensing Object Counting}, volume = {62}, year = {2024} }",18,,JournalArticle,10.1109/tgrs.2024.3402271,Computer Science,1,,False,,,,,Balanced Density Regression Network for Remote Sensing Object Counting,https://www.semanticscholar.org/paper/58fea408beda24005c9214cd0753b3141eb10949,Collected from Semantic Scholar API.,S2_58fea408beda24005c9214cd0753b3141eb10949,67,,,58fea408beda24005c9214cd0753b3141eb10949,https://www.semanticscholar.org/paper/58fea408beda24005c9214cd0753b3141eb10949,Semantic Scholar,DOI:10.1109/tgrs.2024.3402271,Semantic Scholar metadata,,IEEE Transactions on Geoscience and Remote Sensing,2024
"3D scene understanding is an important problem that has experienced great progress in recent years, in large part due to the development of state-of-the-art methods for 3D object detection. However, the performance of 3D object detectors can suffer in scenarios where extreme occlusion of objects is present, or the number of object classes is large. In this paper, we study the problem of inferring 3D counts from densely packed scenes with heterogeneous objects. This problem has applications to important tasks such as inventory management or automatic crop yield estimation. We propose a novel regression-based method, CountNet3D, that uses mature 2D object detectors for finegrained classification and localization, and a PointNet backbone for geometric embedding. The network processes fused data from images and point clouds for end-to-end learning of counts. We perform experiments on a novel synthetic dataset for inventory management in retail, which we construct and make publicly available to the community. Our results show that regression-based 3D counting methods systematically outperform detection-based methods, and reveal that directly learning from raw point clouds greatly assists count estimation under extreme occlusion. Finally, we study the effectiveness of CountNet3D on a large dataset of real-world scenes where extreme occlusion is present and achieve an error rate of 11.01% .",,,,P. Jenkins; Kyle Armstrong; Stephen Nelson; Siddhesh Gotad; J. S. Jenkins; W. Wilkey; Tanner Watts,"@Article{Jenkins2023CountNet3DA3, author = {P. Jenkins and Kyle Armstrong and Stephen Nelson and Siddhesh Gotad and J. S. Jenkins and W. Wilkey and Tanner Watts}, booktitle = {IEEE Workshop/Winter Conference on Applications of Computer Vision}, journal = {2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)}, pages = {3007-3016}, title = {CountNet3D: A 3D Computer Vision Approach to Infer Counts of Occluded Objects}, year = {2023} }",9,,JournalArticle; Conference,10.1109/wacv56688.2023.00302,Computer Science,0,,False,,,,,CountNet3D: A 3D Computer Vision Approach to Infer Counts of Occluded Objects,https://www.semanticscholar.org/paper/8a1513f76a6b8aaecbadafdb03f313cb600d6685,Collected from Semantic Scholar API.,S2_8a1513f76a6b8aaecbadafdb03f313cb600d6685,45,,2023-01-01,8a1513f76a6b8aaecbadafdb03f313cb600d6685,https://www.semanticscholar.org/paper/8a1513f76a6b8aaecbadafdb03f313cb600d6685,Semantic Scholar,DOI:10.1109/wacv56688.2023.00302,Semantic Scholar metadata,,IEEE Workshop/Winter Conference on Applications of Computer Vision,2023
"Efficient models for remote sensing object counting are urgently required for applications in scenarios with limited computing resources, such as drones or embedded systems. A straightforward yet powerful technique to achieve this is knowledge distillation (KD), which steers the learning of student networks by leveraging the experience of already-trained teacher networks. However, it faces a pair of challenges. First, due to its two-stage training nature, a longer training period is essential, especially as the training samples increase. Second, despite the proficiency of teacher networks in transmitting assimilated knowledge, they tend to overlook the latent insights gained during their learning process. To address these challenges, we introduce an online distillation learning method for remote sensing object counting. It builds an end-to-end training framework that seamlessly integrates two distinct networks into a unified one. It comprises a shared shallow module, a teacher branch, and a student branch. The shared module serving as the foundation for both branches is dedicated to learning some primitive information. The teacher branch utilizes prior knowledge to reduce the difficulty of learning and guides the student branch in online learning. In parallel, the student branch achieves parameter reduction and rapid inference capabilities by means of channel reduction. This design empowers the student branch not only to receive privileged insights from the teacher branch but also to tap into the latent reservoir of knowledge held by the teacher branch during the learning process. Moreover, we propose a relation-in-relation distillation (RiRD) method that allows the student branch to effectively comprehend the evolution of the relationship of intralayer teacher features among different interlayer features. Extensive experiments on two challenging datasets demonstrate the effectiveness of our method, which achieves comparable performance to state-of-the-art (SOTA) methods despite using far fewer parameters.",,2303.10318,,Shengqin Jiang; Bowen Li; Fengna Cheng; Qingshan Liu,"@Article{Jiang2023RemoteSO, author = {Shengqin Jiang and Bowen Li and Fengna Cheng and Qingshan Liu}, booktitle = {IEEE Transactions on Geoscience and Remote Sensing}, journal = {IEEE Transactions on Geoscience and Remote Sensing}, pages = {1-11}, title = {Remote Sensing Object Counting With Online Knowledge Learning}, volume = {63}, year = {2023} }",6,,JournalArticle,10.1109/tgrs.2025.3550300,Computer Science,0,,True,,,https://arxiv.org/pdf/2303.10318,,Remote Sensing Object Counting With Online Knowledge Learning,https://www.semanticscholar.org/paper/6fd6e662b58945f9d438e6720b041295b5945d01,Collected from Semantic Scholar API.,S2_6fd6e662b58945f9d438e6720b041295b5945d01,43,,2023-03-18,6fd6e662b58945f9d438e6720b041295b5945d01,https://www.semanticscholar.org/paper/6fd6e662b58945f9d438e6720b041295b5945d01,Semantic Scholar,DOI:10.1109/tgrs.2025.3550300,Semantic Scholar metadata,,IEEE Transactions on Geoscience and Remote Sensing,2023
"Visual counting is a fundamental yet challenging task, especially when users need to count objects of a specific type in complex scenes. While recent models, including class-agnostic counting models and large vision-language models (VLMs), show promise in counting tasks, their ability to perform fine-grained, intent-driven counting remains unclear. In this paper, we introduce Pair-Tally, a benchmark dataset specifically designed to evaluate fine-grained visual counting. Each of the 681 high-resolution images in PairTally contains two object categories, requiring models to distinguish and count based on subtle differences in shape, size, color, or semantics. The dataset includes both intercategory (distinct categories) and intra-category (closely related subcategories) settings, making it suitable for rigorous evaluation of selective counting capabilities. We benchmark a variety of state-of-the-art models, including exemplar-based methods, language-prompted models, and large VLMs. Our results show that despite recent advances, current models struggle to reliably count what users intend, especially in fine-grained and visually ambiguous cases. PairTally provides a new foundation for diagnosing and improving fine-grained visual counting systems. The data and code for this benchmark are available at https://github.com/bbvisual/PairTally_Benchmark.",,2509.13939,,G. Nguyen; Yifeng Huang; Minh Hoai,"@Article{Nguyen2025CanCA, author = {G. Nguyen and Yifeng Huang and Minh Hoai}, booktitle = {International Conference on Digital Image Computing: Techniques and Applications}, journal = {2025 International Conference on Digital Image Computing: Techniques and Applications (DICTA)}, pages = {1-8}, title = {Can Current AI Models Count What We Mean, Not What They See? A Benchmark and Systematic Evaluation}, year = {2025} }",3,,JournalArticle; Conference,10.1109/dicta68720.2025.11302471,Computer Science,0,,False,,,,,"Can Current AI Models Count What We Mean, Not What They See? A Benchmark and Systematic Evaluation",https://www.semanticscholar.org/paper/dc24bda7d68ebd2385fab62648b21925488b99a0,Collected from Semantic Scholar API.,S2_dc24bda7d68ebd2385fab62648b21925488b99a0,57,,2025-09-17,dc24bda7d68ebd2385fab62648b21925488b99a0,https://www.semanticscholar.org/paper/dc24bda7d68ebd2385fab62648b21925488b99a0,Semantic Scholar,DOI:10.1109/dicta68720.2025.11302471,Semantic Scholar metadata,,International Conference on Digital Image Computing: Techniques and Applications,2025
,,,,Xinyan Liu; Guorong Li; Yuankai Qi; Ziheng Yan; Weigang Zhang; Laiyun Qing; Qingming Huang,"@Article{Liu2026DynamicEN, author = {Xinyan Liu and Guorong Li and Yuankai Qi and Ziheng Yan and Weigang Zhang and Laiyun Qing and Qingming Huang}, booktitle = {Pattern Recognition}, journal = {Pattern Recognit.}, pages = {111998}, title = {Dynamic example network for class-agnostic object counting}, volume = {170}, year = {2026} }",3,,JournalArticle,10.1016/j.patcog.2025.111998,Computer Science,0,,False,,,,,Dynamic example network for class-agnostic object counting,https://www.semanticscholar.org/paper/b87ff227b2b227d95b10c64a3193738a76901378,Collected from Semantic Scholar API.,S2_b87ff227b2b227d95b10c64a3193738a76901378,24,,2026-02-01,b87ff227b2b227d95b10c64a3193738a76901378,https://www.semanticscholar.org/paper/b87ff227b2b227d95b10c64a3193738a76901378,Semantic Scholar,DOI:10.1016/j.patcog.2025.111998,Semantic Scholar metadata,,Pattern Recognition,2026
,,,,Gaoxing Ma; Xingquan Zhu; Zhen Tian; Yangdong Ye; Zhenfeng Zhu,"@Article{Ma2025FewShotOC, author = {Gaoxing Ma and Xingquan Zhu and Zhen Tian and Yangdong Ye and Zhenfeng Zhu}, booktitle = {Neurocomputing}, journal = {Neurocomputing}, pages = {130598}, title = {Few-Shot Object Counting with frequency attention and multi-perception head}, volume = {648}, year = {2025} }",2,,JournalArticle,10.1016/j.neucom.2025.130598,Computer Science,0,,False,,,,,Few-Shot Object Counting with frequency attention and multi-perception head,https://www.semanticscholar.org/paper/b9984072a65ccfbc9d176628aba79ae2e2296897,Collected from Semantic Scholar API.,S2_b9984072a65ccfbc9d176628aba79ae2e2296897,21,,2025-06-01,b9984072a65ccfbc9d176628aba79ae2e2296897,https://www.semanticscholar.org/paper/b9984072a65ccfbc9d176628aba79ae2e2296897,Semantic Scholar,DOI:10.1016/j.neucom.2025.130598,Semantic Scholar metadata,,Neurocomputing,2025
,,,,Cheng Qian; Jiwu Cao; Ying Mao; Kai Liu; Peng Zhu; Jun Sang,"@Article{Qian2025PolaCountTZ, author = {Cheng Qian and Jiwu Cao and Ying Mao and Kai Liu and Peng Zhu and Jun Sang}, booktitle = {Neurocomputing}, journal = {Neurocomputing}, pages = {131135}, title = {PolaCount: Text-specified zero-shot object counting with pyramid polarity-aware cross-attention}, volume = {652}, year = {2025} }",2,,JournalArticle,10.1016/j.neucom.2025.131135,Computer Science,0,,False,,,,,PolaCount: Text-specified zero-shot object counting with pyramid polarity-aware cross-attention,https://www.semanticscholar.org/paper/3815110aa2d626522f56beb12e948a025798961d,Collected from Semantic Scholar API.,S2_3815110aa2d626522f56beb12e948a025798961d,26,,2025-07-01,3815110aa2d626522f56beb12e948a025798961d,https://www.semanticscholar.org/paper/3815110aa2d626522f56beb12e948a025798961d,Semantic Scholar,DOI:10.1016/j.neucom.2025.131135,Semantic Scholar metadata,,Neurocomputing,2025
