abstract,application_area,arxiv_id,author_keywords,authors,bibtex,citation_count,dataset_or_benchmark,document_type,doi,index_keywords,influential_citation_count,input_type,is_open_access,method_family,modality,open_access_pdf,output_type,paper_title,paper_url,reason_kept_or_removed,record_id,reference_count,relation,relevance_score,s2_publication_date,semantic_scholar_id,semantic_scholar_url,source,source_paper_id,source_paper_title,source_query,task_category,tier,venue,year
"The recent breakthroughs in natural language processing for model pretraining on large quantities of data have opened the way for similar foundation models in computer vision. These models could greatly simplify the use of images in any system by producing all-purpose visual features, i.e., features that work across image distributions and tasks without finetuning. This work shows that existing pretraining methods, especially self-supervised methods, can produce such features if trained on enough curated data from diverse sources. We revisit existing approaches and combine different techniques to scale our pretraining in terms of data and model size. Most of the technical contributions aim at accelerating and stabilizing the training at scale. In terms of data, we propose an automatic pipeline to build a dedicated, diverse, and curated image dataset instead of uncurated data, as typically done in the self-supervised literature. In terms of models, we train a ViT model (Dosovitskiy et al., 2020) with 1B parameters and distill it into a series of smaller models that surpass the best available all-purpose features, OpenCLIP (Ilharco et al., 2021) on most of the benchmarks at image and pixel levels.",,2304.07193,,M. Oquab; Timothée Darcet; Théo Moutakanni; Huy V. Vo; Marc Szafraniec; Vasil Khalidov; Pierre Fernandez; Daniel Haziza; Francisco Massa; Alaaeldin El-Nouby; Mahmoud Assran; Nicolas Ballas; Wojciech Galuba; Russ Howes; Po-Yao (Bernie) Huang; Shang-Wen Li; Ishan Misra; Michael G. Rabbat; Vasu Sharma; Gabriel Synnaeve; Hu Xu; H. Jégou; J. Mairal; Patrick Labatut; Armand Joulin; Piotr Bojanowski,,8139,,JournalArticle,10.48550/arxiv.2304.07193,Computer Science,1231,,,,,http://arxiv.org/pdf/2304.07193,,DINOv2: Learning Robust Visual Features without Supervision,https://www.semanticscholar.org/paper/5a9cb1b3dc4655218b3deeaf4a2417a9a8cd0891,Collected from Semantic Scholar API.,S2_5a9cb1b3dc4655218b3deeaf4a2417a9a8cd0891,,reference,,,5a9cb1b3dc4655218b3deeaf4a2417a9a8cd0891,https://www.semanticscholar.org/paper/5a9cb1b3dc4655218b3deeaf4a2417a9a8cd0891,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,Trans. Mach. Learn. Res.,2023
"Class-agnostic object counting aims to count object instances of an arbitrary class at test time. Current methods for this challenging problem require human-annotated exemplars as inputs, which are often unavailable for novel categories, especially for autonomous systems. Thus, we propose zero-shot object counting (ZSC), a new setting where only the class name is available during test time. Such a counting system does not require human annotators in the loop and can operate automatically. Starting from a class name, we propose a method that can accurately identify the optimal patches which can then be used as counting exemplars. Specifically, we first construct a class prototype to select the patches that are likely to contain the objects of interest, namely class-relevant patches. Furthermore, we introduce a model that can quantitatively measure how suitable an arbitrary patch is as a counting exemplar. By applying this model to all the candidate patches, we can select the most suitable patches as exemplars for counting. Experimental results on a recent class-agnostic counting dataset, FSC-147, validate the effectiveness of our method. Code is available at https://github.com/cvlabstonybrook/zero-shot-counting.",,2303.02001,,Jingyi Xu; Hieu Le; Vu Nguyen; Viresh Ranjan; D. Samaras,,85,,JournalArticle; Conference,10.1109/cvpr52729.2023.01492,Computer Science,18,,,,,https://arxiv.org/pdf/2303.02001,,Zero-Shot Object Counting,https://www.semanticscholar.org/paper/a8e4a19be7d89e6ef17e47184ef128fbf16772d8,Collected from Semantic Scholar API.,S2_a8e4a19be7d89e6ef17e47184ef128fbf16772d8,,reference,,,a8e4a19be7d89e6ef17e47184ef128fbf16772d8,https://www.semanticscholar.org/paper/a8e4a19be7d89e6ef17e47184ef128fbf16772d8,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,Computer Vision and Pattern Recognition,2023
"Large vision-language models (VLMs), such as CLIP, learn rich joint image-text representations, facilitating advances in numerous downstream tasks, including zero-shot classification and text-to-image generation. Nevertheless, existing VLMs exhibit a prominent well-documented limitation – they fail to encapsulate compositional concepts such as counting. We introduce a simple yet effective method to improve the quantitative understanding of VLMs, while maintaining their overall performance on common benchmarks. Specifically, we propose a new counting-contrastive loss used to finetune a pre-trained VLM in tandem with its original objective. Our counting loss is deployed over automatically-created counterfactual examples, each consisting of an image and a caption containing an incorrect object count. For example, an image depicting three dogs is paired with the caption ""Six dogs playing in the yard"" as a negative example. Our loss encourages discrimination between the correct caption and its counterfactual variant which serves as a hard negative example. To the best of our knowledge, this work is the first to extend CLIP’s capabilities to object counting. Furthermore, we introduce ""CountBench"" – a new image-text counting benchmark for evaluating object counting capabilities. We demonstrate a significant improvement over state-of-the-art baseline models on this task. Finally, we leverage our counting-aware CLIP model for image retrieval and text-conditioned image generation, demonstrating that our model can produce specific counts of objects more reliably than existing ones.",,2302.12066,,Roni Paiss; Ariel Ephrat; Omer Tov; Shiran Zada; Inbar Mosseri; M. Irani; Tali Dekel,,200,,JournalArticle; Conference,10.1109/iccv51070.2023.00294,Computer Science,22,,,,,,,Teaching CLIP to Count to Ten,https://www.semanticscholar.org/paper/c00e47ed6548b267bc1952e4ba4ccaa43fd9cf72,Collected from Semantic Scholar API.,S2_c00e47ed6548b267bc1952e4ba4ccaa43fd9cf72,,reference,,,c00e47ed6548b267bc1952e4ba4ccaa43fd9cf72,https://www.semanticscholar.org/paper/c00e47ed6548b267bc1952e4ba4ccaa43fd9cf72,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,IEEE International Conference on Computer Vision,2023
"We consider low-shot counting of arbitrary semantic categories in the image using only few annotated exemplars (few-shot) or no exemplars (no-shot). The standard few-shot pipeline follows extraction of appearance queries from exemplars and matching them with image features to infer the object counts. Existing methods extract queries by feature pooling which neglects the shape information (e.g., size and aspect) and leads to a reduced object localization accuracy and count estimates.We propose a Low-shot Object Counting network with iterative prototype Adaptation (LOCA). Our main contribution is the new object prototype extraction module, which iteratively fuses the exemplar shape and appearance information with image features. The module is easily adapted to zero-shot scenarios, enabling LOCA to cover the entire spectrum of low-shot counting problems. LOCA outperforms all recent state-of-the-art methods on FSC147 benchmark by 20-30% in RMSE on one-shot and few-shot and achieves state-of-the-art on zero-shot scenarios, while demonstrating better generalization capabilities. The code and models are available here: https://github.com/djukicn/loca.",,2211.08217,,Nikola Djukic; A. Lukežič; Vitjan Zavrtanik; M. Kristan,,93,,JournalArticle; Conference,10.1109/iccv51070.2023.01730,Computer Science,19,,,,,http://arxiv.org/pdf/2211.08217,,A Low-Shot Object Counting Network With Iterative Prototype Adaptation,https://www.semanticscholar.org/paper/5713544d114fc9c5c1ffb1168fc64cd159101b44,Collected from Semantic Scholar API.,S2_5713544d114fc9c5c1ffb1168fc64cd159101b44,,reference,,,5713544d114fc9c5c1ffb1168fc64cd159101b44,https://www.semanticscholar.org/paper/5713544d114fc9c5c1ffb1168fc64cd159101b44,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,IEEE International Conference on Computer Vision,2022
"Groundbreaking language-vision architectures like CLIP and DALL-E proved the utility of training on large amounts of noisy image-text data, without relying on expensive accurate labels used in standard vision unimodal supervised learning. The resulting models showed capabilities of strong text-guided image generation and transfer to downstream tasks, while performing remarkably at zero-shot classification with noteworthy out-of-distribution robustness. Since then, large-scale language-vision models like ALIGN, BASIC, GLIDE, Flamingo and Imagen made further improvements. Studying the training and capabilities of such models requires datasets containing billions of image-text pairs. Until now, no datasets of this size have been made openly available for the broader research community. To address this problem and democratize research on large-scale multi-modal models, we present LAION-5B - a dataset consisting of 5.85 billion CLIP-filtered image-text pairs, of which 2.32B contain English language. We show successful replication and fine-tuning of foundational models like CLIP, GLIDE and Stable Diffusion using the dataset, and discuss further experiments enabled with an openly available dataset of this scale. Additionally we provide several nearest neighbor indices, an improved web-interface for dataset exploration and subset generation, and detection scores for watermark, NSFW, and toxic content detection. Announcement page https://laion.ai/laion-5b-a-new-era-of-open-large-scale-multi-modal-datasets/",,2210.08402,,Christoph Schuhmann; R. Beaumont; R. Vencu; Cade Gordon; Ross Wightman; Mehdi Cherti; Theo Coombes; Aarush Katta; Clayton Mullis; Mitchell Wortsman; P. Schramowski; Srivatsa Kundurthy; Katherine Crowson; Ludwig Schmidt; R. Kaczmarczyk; J. Jitsev,,5132,,JournalArticle,10.48550/arxiv.2210.08402,Computer Science,486,,,,,http://arxiv.org/pdf/2210.08402,,LAION-5B: An open large-scale dataset for training next generation image-text models,https://www.semanticscholar.org/paper/e5c8960eb2ec034ffbd353ef39fd1cb541d3c7c9,Collected from Semantic Scholar API.,S2_e5c8960eb2ec034ffbd353ef39fd1cb541d3c7c9,,reference,,,e5c8960eb2ec034ffbd353ef39fd1cb541d3c7c9,https://www.semanticscholar.org/paper/e5c8960eb2ec034ffbd353ef39fd1cb541d3c7c9,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,Neural Information Processing Systems,2022
"In this paper, we consider the problem of generalised visual object counting, with the goal of developing a computational model for counting the number of objects from arbitrary semantic categories, using arbitrary number of""exemplars"", i.e. zero-shot or few-shot counting. To this end, we make the following four contributions: (1) We introduce a novel transformer-based architecture for generalised visual object counting, termed as Counting Transformer (CounTR), which explicitly capture the similarity between image patches or with given""exemplars""with the attention mechanism;(2) We adopt a two-stage training regime, that first pre-trains the model with self-supervised learning, and followed by supervised fine-tuning;(3) We propose a simple, scalable pipeline for synthesizing training images with a large number of instances or that from different semantic categories, explicitly forcing the model to make use of the given""exemplars"";(4) We conduct thorough ablation studies on the large-scale counting benchmark, e.g. FSC-147, and demonstrate state-of-the-art performance on both zero and few-shot settings.",,2208.13721,,Chang Liu; Yujie Zhong; Andrew Zisserman; Weidi Xie,,121,,JournalArticle; Conference,10.48550/arxiv.2208.13721,Computer Science,36,,,,,http://arxiv.org/pdf/2208.13721,,CounTR: Transformer-based Generalised Visual Counting,https://www.semanticscholar.org/paper/2e9f911c0bca0226b226527aa9ed338ddfd14617,Collected from Semantic Scholar API.,S2_2e9f911c0bca0226b226527aa9ed338ddfd14617,,reference,,,2e9f911c0bca0226b226527aa9ed338ddfd14617,https://www.semanticscholar.org/paper/2e9f911c0bca0226b226527aa9ed338ddfd14617,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,British Machine Vision Conference,2022
"We tackle a new task of few-shot object counting and detection. Given a few exemplar bounding boxes of a target object class, we seek to count and detect all objects of the target class. This task shares the same supervision as the few-shot object counting but additionally outputs the object bounding boxes along with the total object count. To address this challenging problem, we introduce a novel two-stage training strategy and a novel uncertainty-aware few-shot object detector: Counting-DETR. The former is aimed at generating pseudo ground-truth bounding boxes to train the latter. The latter leverages the pseudo ground-truth provided by the former but takes the necessary steps to account for the imperfection of pseudo ground-truth. To validate the performance of our method on the new task, we introduce two new datasets named FSCD-147 and FSCD-LVIS. Both datasets contain images with complex scenes, multiple object classes per image, and a huge variation in object shapes, sizes, and appearance. Our proposed approach outperforms very strong baselines adapted from few-shot object counting and few-shot object detection with a large margin in both counting and detection metrics. The code and models are available at https://github.com/VinAIResearch/Counting-DETR.",,2207.10988,,T. Nguyen; C. Pham; Khoi Duc Minh Nguyen; Minh Hoai,,81,,JournalArticle; Conference,10.48550/arxiv.2207.10988,Computer Science,13,,,,,http://arxiv.org/pdf/2207.10988,,Few-shot Object Counting and Detection,https://www.semanticscholar.org/paper/adbb84262fa2027e7f55840fbb059fbebd0f8701,Collected from Semantic Scholar API.,S2_adbb84262fa2027e7f55840fbb059fbebd0f8701,,reference,,,adbb84262fa2027e7f55840fbb059fbebd0f8701,https://www.semanticscholar.org/paper/adbb84262fa2027e7f55840fbb059fbebd0f8701,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,European Conference on Computer Vision,2022
"We tackle the task of Class Agnostic Counting, which aims to count objects in a novel object category at test time without any access to labeled training data for that category. All previous class agnostic counting methods cannot work in a fully automated setting, and require computationally expensive test time adaptation. To address these challenges, we propose a visual counter which operates in a fully automated setting and does not require any test time adaptation. Our proposed approach first identifies exemplars from repeating objects in an image, and then counts the repeating objects. We propose a novel region proposal network for identifying the exemplars. After identifying the exemplars, we obtain the corresponding count by using a density estimation based Visual Counter. We evaluate our proposed approach on FSC-147 dataset, and show that it achieves superior performance compared to the existing approaches.",,2205.14212,,Viresh Ranjan; Minh Hoai,,60,,JournalArticle; Conference,10.48550/arxiv.2205.14212,Computer Science,11,,,,,https://arxiv.org/pdf/2205.14212,,Exemplar Free Class Agnostic Counting,https://www.semanticscholar.org/paper/3a0341161bb63674299050862da5267074a5ce32,Collected from Semantic Scholar API.,S2_3a0341161bb63674299050862da5267074a5ce32,,reference,,,3a0341161bb63674299050862da5267074a5ce32,https://www.semanticscholar.org/paper/3a0341161bb63674299050862da5267074a5ce32,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,Asian Conference on Computer Vision,2022
"Current class-agnostic counting methods can generalise to unseen classes but usually require reference images to define the type of object to be counted, as well as instance annotations during training. Reference-less class-agnostic counting is an emerging field that identifies counting as, at its core, a repetition-recognition task. Such methods facilitate counting on a changing set composition. We show that a general feature space with global context can enumerate instances in an image without a prior on the object type present. Specifically, we demonstrate that regression from vision transformer features without point-level supervision or reference images is superior to other reference-less methods and is competitive with methods that use reference images. We show this on the current standard few-shot counting dataset FSC-147. We also propose an improved dataset, FSC-133, which removes errors, ambiguities, and repeated images from FSC-147 and demonstrate similar performance on it. To the best of our knowledge, we are the first weakly-supervised reference-less class-agnostic counting method.",,2205.10203,,Michael A. Hobley; V. Prisacariu,,63,,JournalArticle,10.48550/arxiv.2205.10203,Computer Science,9,,,,,http://arxiv.org/pdf/2205.10203,,Learning to Count Anything: Reference-less Class-agnostic Counting with Weak Supervision,https://www.semanticscholar.org/paper/0aaea86a57bc0cd6cf7630b68d91d52f20a0709d,Collected from Semantic Scholar API.,S2_0aaea86a57bc0cd6cf7630b68d91d52f20a0709d,,reference,,,0aaea86a57bc0cd6cf7630b68d91d52f20a0709d,https://www.semanticscholar.org/paper/0aaea86a57bc0cd6cf7630b68d91d52f20a0709d,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,arXiv.org,2022
"Class-agnostic counting (CAC) aims to count all instances in a query image given few exemplars. A standard pipeline is to extract visual features from exemplars and match them with query images to infer object counts. Two essential components in this pipeline are feature representation and similarity metric. Existing methods either adopt a pretrained network to represent features or learn a new one, while applying a naive similarity metric with fixed inner product. We find this paradigm leads to noisy similarity matching and hence harms counting performance. In this work, we propose a similarity-aware CAC framework that jointly learns representation and similarity metric. We first instantiate our framework with a naive baseline called Bilinear Matching Network (BMNet), whose key component is a learnable bilinear similarity metric. To further embody the core of our framework, we extend BMNet to BMNet+ that models similarity from three aspects: 1) representing the instances via their self-similarity to enhance feature robustness against intra-class variations; 2) comparing the similarity dynamically to focus on the key patterns of each exemplar; 3) learning from a supervision signal to impose explicit constraints on matching results. Extensive experiments on a recent CAC dataset FSC147 show that our models significantly outperform state-of-the-art CAC approaches. In addition, we also validate the cross-dataset generality of BMNet and BMNet+ on a car counting dataset CARPK. Code is at tiny.one/BMNet",,2203.08354,,Min Shi; Hao Lu; Chen Feng; Chengxin Liu; ZHIGUO CAO,,131,,JournalArticle; Conference,10.1109/cvpr52688.2022.00931,Computer Science,40,,,,,https://arxiv.org/pdf/2203.08354,,"Represent, Compare, and Learn: A Similarity-Aware Framework for Class-Agnostic Counting",https://www.semanticscholar.org/paper/ad3d701137b6a274f3579e5c14bcb05bdafdf9a3,Collected from Semantic Scholar API.,S2_ad3d701137b6a274f3579e5c14bcb05bdafdf9a3,,reference,,,ad3d701137b6a274f3579e5c14bcb05bdafdf9a3,https://www.semanticscholar.org/paper/ad3d701137b6a274f3579e5c14bcb05bdafdf9a3,Semantic Scholar,2274769488f95221c2f5090c1d9bc16c3ef6b16c,Open-world Text-specified Object Counting,reference of 2274769488f95221c2f5090c1d9bc16c3ef6b16c,Semantic Scholar metadata,,Computer Vision and Pattern Recognition,2022
