abstract,application_area,arxiv_id,author_keywords,authors,bibtex,citation_count,dataset_or_benchmark,document_type,doi,index_keywords,influential_citation_count,input_type,is_open_access,method_family,modality,open_access_pdf,output_type,paper_title,paper_url,reason_kept_or_removed,record_id,reference_count,relevance_score,s2_publication_date,semantic_scholar_id,semantic_scholar_url,source,source_query,task_category,tier,venue,year
"Accurately estimating the number of objects in a single image is a challenging yet meaningful task and has been applied in many applications such as urban planning and public safety. In various object counting tasks, crowd counting is particularly prominent due to its specific significance to social security and development. Fortunately, the development of the techniques for crowd counting can be generalized to other related fields such as vehicle counting and environment survey, if without taking their characteristics into account. Therefore, many researchers are devoting to crowd counting, and many excellent works have spurted out and significantly promote the development of crowd counting. However, one question we should consider is how far are we from solving the counting problem?. Limited by the costs of time and energy, we cannot analyze all algorithms. In this paper, we have surveyed 300+ works to comprehensively and systematically study the crowd counting models, mainly involving CNN-based density map estimation methods. Finally, according to evaluation metrics, we select the top three performers on their crowd counting datasets and analyze their merits and drawbacks. Through our analysis, we expect to make a reasonable inference and prediction for the future development of crowd counting, and meanwhile, it can also provide feasible solutions for the problem of object counting in other fields. We provide density maps and prediction results of some mainstream algorithms on the validation set of NWPU dataset for comparison and testing. Meanwhile, density map generation and evaluation tools are also provided. All the codes and evaluation results are made publicly available at https://github.com/gaoguangshuai/survey-for-crowd-counting.",,,,Guangshuai Gao; Junyu Gao; Qingjie Liu; Qi Wang; Yunhong Wang,"@Article{Gao2025ASO, author = {Guangshuai Gao and Junyu Gao and Qingjie Liu and Qi Wang and Yunhong Wang}, booktitle = {Vicinagearth}, journal = {Vicinagearth}, title = {A survey of deep learning methods for density estimation and crowd counting}, volume = {2}, year = {2025} }",21,,JournalArticle; Review,10.1007/s44336-024-00011-8,,0,,True,,,https://doi.org/10.1007/s44336-024-00011-8,,A survey of deep learning methods for density estimation and crowd counting,https://www.semanticscholar.org/paper/66ca480220299c446de726a0e1eb235ece84a9b7,Collected from Semantic Scholar API.,S2_66ca480220299c446de726a0e1eb235ece84a9b7,295,,2025-02-06,66ca480220299c446de726a0e1eb235ece84a9b7,https://www.semanticscholar.org/paper/66ca480220299c446de726a0e1eb235ece84a9b7,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Vicinagearth,2025
,,,,Yuning Huang; Yurong Qian; Hongyang Wei; Yiguo Lu; Bowen Ling; Yugang Qin,"@Article{Huang2023ASO, author = {Yuning Huang and Yurong Qian and Hongyang Wei and Yiguo Lu and Bowen Ling and Yugang Qin}, booktitle = {Computers and Electronics in Agriculture}, journal = {Comput. Electron. Agric.}, pages = {108425}, title = {A survey of deep learning-based object detection methods in crop counting}, volume = {215}, year = {2023} }",60,,JournalArticle; Review,10.1016/j.compag.2023.108425,Computer Science,0,,False,,,,,A survey of deep learning-based object detection methods in crop counting,https://www.semanticscholar.org/paper/7d225e4394181b4840b251e5e56f448b2291577c,Collected from Semantic Scholar API.,S2_7d225e4394181b4840b251e5e56f448b2291577c,139,,2023-12-01,7d225e4394181b4840b251e5e56f448b2291577c,https://www.semanticscholar.org/paper/7d225e4394181b4840b251e5e56f448b2291577c,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Computers and Electronics in Agriculture,2023
"Visual object counting has recently shifted towards class-agnostic counting (CAC), which addresses the challenge of counting objects across arbitrary categories, a crucial capability for flexible and generalizable counting systems. Unlike humans, who effortlessly identify and count objects from diverse categories without prior knowledge, most existing counting methods are restricted to enumerating instances of known classes, requiring extensive labeled datasets for training and struggling in open-vocabulary settings. In contrast, CAC aims to count objects belonging to classes never seen during training, operating in a few-shot setting. In this paper, we present the first comprehensive review of CAC methodologies. We propose a taxonomy to categorize CAC approaches into three paradigms based on how target object classes can be specified: reference-based, reference-less, and open-world text-guided. Reference-based approaches achieve state-of-the-art performance by relying on exemplar-guided mechanisms. Reference-less methods eliminate exemplar dependency by leveraging inherent image patterns. Finally, open-world text-guided methods use vision-language models, enabling object class descriptions via textual prompts, offering a flexible and promising solution. Based on this taxonomy, we provide an overview of 30 CAC architectures and report their performance on gold-standard benchmarks, discussing key strengths and limitations. Specifically, we present results on the FSC-147 dataset, setting a leaderboard using gold-standard metrics, and on the CARPK dataset to assess generalization capabilities. Finally, we offer a critical discussion of persistent challenges, such as annotation dependency and generalization, alongside future directions.",,2501.19184,,Luca Ciampi; Ali Azmoudeh; Elif Ecem Akbaba; Erdi Saritacs; Z. A. Yazici; H. K. Ekenel; G. Amato; Fabrizio Falchi,"@Article{Ciampi2025ASO, author = {Luca Ciampi and Ali Azmoudeh and Elif Ecem Akbaba and Erdi Saritacs and Z. A. Yazici and H. K. Ekenel and G. Amato and Fabrizio Falchi}, booktitle = {Computer Vision and Image Understanding}, journal = {ArXiv}, title = {A Survey on Class-Agnostic Counting: Advancements from Reference-Based to Open-World Text-Guided Approaches}, volume = {abs/2501.19184}, year = {2025} }",4,,JournalArticle; Review,10.48550/arxiv.2501.19184,Computer Science,0,,False,,,,,A Survey on Class-Agnostic Counting: Advancements from Reference-Based to Open-World Text-Guided Approaches,https://www.semanticscholar.org/paper/4ec642b8ea1892e3ad6f95e28844898b8f03e0e8,Collected from Semantic Scholar API.,S2_4ec642b8ea1892e3ad6f95e28844898b8f03e0e8,133,,2025-01-31,4ec642b8ea1892e3ad6f95e28844898b8f03e0e8,https://www.semanticscholar.org/paper/4ec642b8ea1892e3ad6f95e28844898b8f03e0e8,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Computer Vision and Image Understanding,2025
"Rice planthoppers are the most economically important insect pests of rice in Asia. Traditional surveys to examine their abundance and composition in paddy fields involve human visual inspection, which requires considerable time and effort by expert entomologists. We previously developed a deep learning-based object detection system which can detect rice planthopper individuals from scanned images of survey boards, categorize, and count planthopper individuals by 18 categories, based on species, developmental stages, adult sexes, and adult wing-forms, with a mean average precision (mAP) of 79%. In this study, we modified the system by reconsidering the categories of planthopper individuals to be counted and by additional supervised training. The modified system can count rice planthopper individuals captured on survey boards across 17 categories with a mAP of 91%. We also showed that by using the system developed here, classification and counting of rice planthopper individuals can be completed in approximately six minutes per survey board, which can take more than an hour for human experts. Thus, this high-performance system can greatly save time and reduce labor costs for monitoring the occurrence, reproduction, and population growth of the rice planthoppers in paddy fields, which could increase the efficiency of their management.",,,,T. Yashiro; T. Takayama; Ryo Sugiura; M. Matsumura; S. Sanada‐Morimura,"@Article{Yashiro2025DevelopmentAE, author = {T. Yashiro and T. Takayama and Ryo Sugiura and M. Matsumura and S. Sanada‐Morimura}, booktitle = {Scientific Reports}, journal = {Scientific Reports}, title = {Development and evaluation of an automated classification and counting system for rice planthoppers captured on survey boards}, volume = {15}, year = {2025} }",1,,JournalArticle; Review,10.1038/s41598-025-05908-y,Medicine,0,,False,,,,,Development and evaluation of an automated classification and counting system for rice planthoppers captured on survey boards,https://www.semanticscholar.org/paper/8139219d0f14c618b18e77a4c15e67439da67ece,Collected from Semantic Scholar API.,S2_8139219d0f14c618b18e77a4c15e67439da67ece,15,,2025-07-01,8139219d0f14c618b18e77a4c15e67439da67ece,https://www.semanticscholar.org/paper/8139219d0f14c618b18e77a4c15e67439da67ece,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Scientific Reports,2025
"Part of the ultimate key capabilities for a RoboSoldier will lie in its ability to count the total number of people within a crowd with pin-drop precision. Crowd Counting (CC) relates to the estimation of the existing number of objects within a still image or video frame. Crowd counting has been successfully used in a wide range of applications from gathering business intelligence, such as consumer shopping patterns and ensuring normal operating conditions, to urban planning for crowd safety and stability through traffic monitoring. However, crowd counting has a fair range of its challenges like, high cluttering, varying illumination, severe occlusion, Perspective Distortion (PD), Irregular Object Distribution (IOD), non-object scales, and Location Information Loss (LIL)...",,,,Vidhi Khanduja; Tendai Padenga,"@Article{Khanduja2025CrowdCI, author = {Vidhi Khanduja and Tendai Padenga}, booktitle = {Defence Science Journal}, journal = {Defence Science Journal}, title = {Crowd Counting in Still Images for RoboSoldier: A Survey}, year = {2025} }",0,,JournalArticle; Review,10.14429/19142,,0,,False,,,,,Crowd Counting in Still Images for RoboSoldier: A Survey,https://www.semanticscholar.org/paper/a31f928111c137711cb48151f8afebc179cdcc48,Collected from Semantic Scholar API.,S2_a31f928111c137711cb48151f8afebc179cdcc48,0,,2025-03-24,a31f928111c137711cb48151f8afebc179cdcc48,https://www.semanticscholar.org/paper/a31f928111c137711cb48151f8afebc179cdcc48,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Defence Science Journal,2025
"Florida manatees (Trichechus manatus latirostris) require frequent and extensive surveys to inform conservation efforts. Crewed aircraft surveys can be costly, dangerous, and logistically complex. Unoccupied aerial systems (UASs) can assist with these issues. While manual review of UAS imagery can be time- and labor-intensive, automated detection of manatees in aerial survey footage can help. We present an object-based image analysis workflow for the automated detection and count of Florida manatees in Google Earth Engine, a free platform for research that allows for scripts and imagery sharing. Training and testing datasets were built from randomly extracted image frames from two stationary, unoccupied aerial system videos over thermal refugia. The workflow captured most manatees (93.98 to 95.62% recall; 4.38 to 6.03% false negative rate), but also counted many objects as manatees incorrectly (4.24 to 14.77% precision; 998.40 to 3,885.54% false positive over the detectable rate). Sun glint, mud plumes, and water close to shore were common causes of false positives. While the automated count was too high, the workflow lays markers over each detection, allowing for quick manual review for more accurate (semi-automated) counts. This study is an early step in automated detection tools for Florida manatees in a cloud-based platform. Future efforts could explore other platforms or may improve this workflow by including new classes for confounding objects.",,,,Esteban N. Rodofili; V. Lecours,"@Article{Rodofili2024AutomaticallyCF, author = {Esteban N. Rodofili and V. Lecours}, booktitle = {Aquatic Mammals}, journal = {Aquatic Mammals}, title = {Automatically Counting Florida Manatees (Trichechus manatus latirostris) from Drone Images Using Object-Based Image Analysis}, year = {2024} }",2,,JournalArticle; Review,10.1578/am.50.6.2024.549,,1,,True,,,https://www.aquaticmammalsjournal.org/wp-content/uploads/2024/06/50.6_Rodofili_Lecours.pdf,,Automatically Counting Florida Manatees (Trichechus manatus latirostris) from Drone Images Using Object-Based Image Analysis,https://www.semanticscholar.org/paper/a54f49eb655853450b6d56602ea5d0f03b167869,Collected from Semantic Scholar API.,S2_a54f49eb655853450b6d56602ea5d0f03b167869,0,,2024-11-15,a54f49eb655853450b6d56602ea5d0f03b167869,https://www.semanticscholar.org/paper/a54f49eb655853450b6d56602ea5d0f03b167869,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,Aquatic Mammals,2024
"The average daily traffic survey is essential for repairing and maintaining road sections. This method is generally conducted using a semi-manual approach that counts vehicles using CCTV. This approach is not effective or efficient because of the potential for human error. This paper have three contributions as follows. First, this paper proposes a framework by applying the RT-DETR architecture for vehicle detection and ByteTrack for vehicle tracking and counting in an average daily traffic survey. Second, this paper proposes a multi-vehicle voting algorithm to filter false identification of the same vehicle during the tracking process prior to vehicle counting. Third, to demonstrate the robustness of the proposed frameworks, we evaluated its performance using seven CCTV camera videos taken from diverse scenes during the day and night. RT-DETR Resnet 101, which is trained in an average daily traffic survey dataset, outperforms all object detection architectures with mAP@50 value of 0.992 and mAP@50-95 value of 0.891. RT-DETR Resnet101 also achieve best F1-score among all object detectors with value of 0.91. This framework using a combination of RT-DETR and ByteTrack also succeeded in counting vehicles with various video backgrounds, with an average counting accuracy value above 83% for all conditions. We compare the effect of using a multi-vehicle voting algorithm with and without showed that counting accuracy increased for each combination with an average increase value of 0.78. RT-DETR also has best performance compared to another object detection methods in detecting vehicles experiencing motion blur, especially in nighttime video scenes. In addition, ByteTrack roles in tracking vehicle objects show its robustness to handle occlusion and vehicle ID switch.",,,,Yusuf Gladiensyah Bihanda; Chastine Fatichah; Anny Yuniarti,"@Article{Bihanda2024MultiVehicleTA, author = {Yusuf Gladiensyah Bihanda and Chastine Fatichah and Anny Yuniarti}, booktitle = {IEEE Access}, journal = {IEEE Access}, pages = {121723-121737}, title = {Multi-Vehicle Tracking and Counting Framework in Average Daily Traffic Survey Using RT-DETR and ByteTrack}, volume = {12}, year = {2024} }",13,,JournalArticle; Review,10.1109/access.2024.3453249,Computer Science,0,,True,,,https://doi.org/10.1109/access.2024.3453249,,Multi-Vehicle Tracking and Counting Framework in Average Daily Traffic Survey Using RT-DETR and ByteTrack,https://www.semanticscholar.org/paper/713d3d373cdd3026ccf31a5a00c7dea560939c58,Collected from Semantic Scholar API.,S2_713d3d373cdd3026ccf31a5a00c7dea560939c58,54,,,713d3d373cdd3026ccf31a5a00c7dea560939c58,https://www.semanticscholar.org/paper/713d3d373cdd3026ccf31a5a00c7dea560939c58,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,IEEE Access,2024
"Object detection in high-resolution satellite imagery is emerging as a scalable alternative to on-the-ground survey data collection in many environmental and socioeconomic monitoring applications. However, performing object detection over large geographies can still be prohibitively expensive due to the high cost of purchasing imagery and compute. Inspired by traditional survey data collection strategies, we propose an approach to estimate object count statistics over large geographies through sampling. Given a cost budget, our method selects a small number of representative areas by sampling from a learnable proposal distribution. Using importance sampling, we are able to accurately estimate object counts after processing only a small fraction of the images compared to an exhaustive approach. We show empirically that the proposed framework achieves strong performance on estimating the number of buildings in the United States and Africa, cars in Kenya, brick kilns in Bangladesh, and swimming pools in the U.S., while requiring as few as 0.01% of satellite images compared to an exhaustive approach.",,2112.09126,,Chenlin Meng; Enci Liu; Willie Neiswanger; Jiaming Song; M. Burke; D. Lobell; Stefano Ermon,"@Article{Meng2021ISCOUNTLO, author = {Chenlin Meng and Enci Liu and Willie Neiswanger and Jiaming Song and M. Burke and D. Lobell and Stefano Ermon}, booktitle = {AAAI Conference on Artificial Intelligence}, pages = {12034-12042}, title = {IS-COUNT: Large-scale Object Counting from Satellite Images with Covariate-based Importance Sampling}, year = {2021} }",29,,JournalArticle; Conference; Review,10.1609/aaai.v36i11.21462,Computer Science,1,,True,,,https://ojs.aaai.org/index.php/AAAI/article/download/21462/21211,,IS-COUNT: Large-scale Object Counting from Satellite Images with Covariate-based Importance Sampling,https://www.semanticscholar.org/paper/f2a47ae70e592f4b17a143e2ffb50401b848bdc7,Collected from Semantic Scholar API.,S2_f2a47ae70e592f4b17a143e2ffb50401b848bdc7,31,,2021-12-16,f2a47ae70e592f4b17a143e2ffb50401b848bdc7,https://www.semanticscholar.org/paper/f2a47ae70e592f4b17a143e2ffb50401b848bdc7,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,AAAI Conference on Artificial Intelligence,2021
"Accurately estimating the number of objects in a single image is a challenging yet meaningful task and has been applied in many applications such as urban planning and public safety. In the various object counting tasks, crowd counting is particularly prominent due to its specific significance to social security and development. Fortunately, the development of the techniques for crowd counting can be generalized to other related fields such as vehicle counting and environment survey, if without taking their characteristics into account. Therefore, many researchers are devoting to crowd counting, and many excellent works of literature and works have spurted out. In these works, they are must be helpful for the development of crowd counting. However, the question we should consider is why they are effective for this task. Limited by the cost of time and energy, we cannot analyze all the algorithms. In this paper, we have surveyed over 220 works to comprehensively and systematically study the crowd counting models, mainly CNN-based density map estimation methods. Finally, according to the evaluation metrics, we select the top three performers on their crowd counting datasets and analyze their merits and drawbacks. Through our analysis, we expect to make reasonable inference and prediction for the future development of crowd counting, and meanwhile, it can also provide feasible solutions for the problem of object counting in other fields. We provide the density maps and prediction results of some mainstream algorithm in the validation set of NWPU dataset for comparison and testing. Meanwhile, density map generation and evaluation tools are also provided. All the codes and evaluation results are made publicly available at this https URL.",,2003.12783,,Guangshuai Gao; Junyu Gao; Qingjie Liu; Qi Wang; Yunhong Wang,"@Article{Gao2020CNNbasedDE, author = {Guangshuai Gao and Junyu Gao and Qingjie Liu and Qi Wang and Yunhong Wang}, booktitle = {arXiv.org}, journal = {ArXiv}, title = {CNN-based Density Estimation and Crowd Counting: A Survey}, volume = {abs/2003.12783}, year = {2020} }",182,,JournalArticle; Review,,Computer Science,9,,False,,,,,CNN-based Density Estimation and Crowd Counting: A Survey,https://www.semanticscholar.org/paper/26d0bffc682e0faed8f70196b793431afacf065a,Collected from Semantic Scholar API.,S2_26d0bffc682e0faed8f70196b793431afacf065a,223,,2020-03-28,26d0bffc682e0faed8f70196b793431afacf065a,https://www.semanticscholar.org/paper/26d0bffc682e0faed8f70196b793431afacf065a,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,arXiv.org,2020
"In recent years, object detection is becoming very popular field in computer vision developments. Object detection has many applications viz. vehicle detection, pedestrian detection, blood cell counting etc. Various studies have been conducted in order to improve object detecting accuracy and speed. The latest technique is You Only Look Once object detection. It is state-of-the-art detection technique and considered as a regression problem. YOLO has the ability to predict various objects present in an image in a single run. This paper presents a survey of various detections based on YOLO which aims to improve the accuracy of existing system. This paper presents various modifications done on basic YOLO method and shows their analysis.",,,,Abhinandan Tripathi; M. Gupta; Chaynika Srivastava; Pallavi Dixit; Shrawan Kumar Pandey,"@Article{Tripathi2022ObjectDU, author = {Abhinandan Tripathi and M. Gupta and Chaynika Srivastava and Pallavi Dixit and Shrawan Kumar Pandey}, booktitle = {International Conferences on Contemporary Computing and Informatics}, journal = {2022 5th International Conference on Contemporary Computing and Informatics (IC3I)}, pages = {747-752}, title = {Object Detection using YOLO: A Survey}, year = {2022} }",22,,JournalArticle; Conference; Review,10.1109/ic3i56241.2022.10073281,Computer Science,0,,False,,,,,Object Detection using YOLO: A Survey,https://www.semanticscholar.org/paper/d8095d00b401a7159d90a06dccb96a81a07c9847,Collected from Semantic Scholar API.,S2_d8095d00b401a7159d90a06dccb96a81a07c9847,27,,2022-12-14,d8095d00b401a7159d90a06dccb96a81a07c9847,https://www.semanticscholar.org/paper/d8095d00b401a7159d90a06dccb96a81a07c9847,Semantic Scholar,QUERY:survey_taxonomy:object counting survey,Semantic Scholar metadata,,International Conferences on Contemporary Computing and Informatics,2022
